announcement_year,pathway,scheduled_year,scheduled_gw,cohort,window
2020,grid_queue,2025,0.8775000000000001,opening,before_reference
2021,grid_queue,2026,1.17,opening,within_simulation
2022,grid_queue,2027,1.7550000000000001,opening,within_simulation
2023,grid_queue,2028,2.9250000000000003,opening,within_simulation
2024,grid_queue,2029,4.095,opening,within_simulation
2025,grid_queue,2030,4.9725,opening,within_simulation
2026,grid_queue,2031,5.8500000000000005,forecast,within_simulation
2027,grid_queue,2032,5.8500000000000005,forecast,within_simulation
2028,grid_queue,2033,5.8500000000000005,forecast,within_simulation
2029,grid_queue,2034,5.8500000000000005,forecast,after_horizon
2030,grid_queue,2035,5.8500000000000005,forecast,after_horizon
2031,grid_queue,2036,5.8500000000000005,forecast,after_horizon
2032,grid_queue,2037,5.8500000000000005,forecast,after_horizon
2033,grid_queue,2038,5.8500000000000005,forecast,after_horizon
2020,btm_large_frame,2025,0.3465,opening,before_reference
2020,btm_large_frame,2026,0.3465,opening,within_simulation
2021,btm_large_frame,2026,0.46199999999999997,opening,within_simulation
2021,btm_large_frame,2027,0.46199999999999997,opening,within_simulation
2022,btm_large_frame,2027,0.693,opening,within_simulation
2022,btm_large_frame,2028,0.693,opening,within_simulation
2023,btm_large_frame,2028,1.1549999999999998,opening,within_simulation
2023,btm_large_frame,2029,1.1549999999999998,opening,within_simulation
2024,btm_large_frame,2029,1.617,opening,within_simulation
2024,btm_large_frame,2030,1.617,opening,within_simulation
2025,btm_large_frame,2030,1.9634999999999998,opening,within_simulation
2025,btm_large_frame,2031,1.9634999999999998,opening,within_simulation
2026,btm_large_frame,2031,2.3099999999999996,forecast,within_simulation
2026,btm_large_frame,2032,2.3099999999999996,forecast,within_simulation
2027,btm_large_frame,2032,2.3099999999999996,forecast,within_simulation
2027,btm_large_frame,2033,2.3099999999999996,forecast,within_simulation
2028,btm_large_frame,2033,2.3099999999999996,forecast,within_simulation
2028,btm_large_frame,2034,2.3099999999999996,forecast,after_horizon
2029,btm_large_frame,2034,2.3099999999999996,forecast,after_horizon
2029,btm_large_frame,2035,2.3099999999999996,forecast,after_horizon
2030,btm_large_frame,2035,2.3099999999999996,forecast,after_horizon
2030,btm_large_frame,2036,2.3099999999999996,forecast,after_horizon
2031,btm_large_frame,2036,2.3099999999999996,forecast,after_horizon
2031,btm_large_frame,2037,2.3099999999999996,forecast,after_horizon
2032,btm_large_frame,2037,2.3099999999999996,forecast,after_horizon
2032,btm_large_frame,2038,2.3099999999999996,forecast,after_horizon
2033,btm_large_frame,2038,2.3099999999999996,forecast,after_horizon
2033,btm_large_frame,2039,2.3099999999999996,forecast,after_horizon
2020,btm_aeroderivative,2023,0.5445000000000451,opening,before_reference
2020,btm_aeroderivative,2024,0.04949999999995499,opening,before_reference
2021,btm_aeroderivative,2024,0.72600000000006,opening,before_reference
2021,btm_aeroderivative,2025,0.06599999999993998,opening,before_reference
2022,btm_aeroderivative,2025,1.0890000000000901,opening,before_reference
2022,btm_aeroderivative,2026,0.09899999999990998,opening,within_simulation
2023,btm_aeroderivative,2026,1.81500000000015,opening,within_simulation
2023,btm_aeroderivative,2027,0.16499999999984993,opening,within_simulation
2024,btm_aeroderivative,2027,2.5410000000002104,opening,within_simulation
2024,btm_aeroderivative,2028,0.23099999999978993,opening,within_simulation
2025,btm_aeroderivative,2028,3.085500000000255,opening,within_simulation
2025,btm_aeroderivative,2029,0.2804999999997449,opening,within_simulation
2026,btm_aeroderivative,2029,3.6300000000003,forecast,within_simulation
2026,btm_aeroderivative,2030,0.32999999999969987,forecast,within_simulation
2027,btm_aeroderivative,2030,3.6300000000003,forecast,within_simulation
2027,btm_aeroderivative,2031,0.32999999999969987,forecast,within_simulation
2028,btm_aeroderivative,2031,3.6300000000003,forecast,within_simulation
2028,btm_aeroderivative,2032,0.32999999999969987,forecast,within_simulation
2029,btm_aeroderivative,2032,3.6300000000003,forecast,within_simulation
2029,btm_aeroderivative,2033,0.32999999999969987,forecast,within_simulation
2030,btm_aeroderivative,2033,3.6300000000003,forecast,within_simulation
2030,btm_aeroderivative,2034,0.32999999999969987,forecast,after_horizon
2031,btm_aeroderivative,2034,3.6300000000003,forecast,after_horizon
2031,btm_aeroderivative,2035,0.32999999999969987,forecast,after_horizon
2032,btm_aeroderivative,2035,3.6300000000003,forecast,after_horizon
2032,btm_aeroderivative,2036,0.32999999999969987,forecast,after_horizon
2033,btm_aeroderivative,2036,3.6300000000003,forecast,after_horizon
2033,btm_aeroderivative,2037,0.32999999999969987,forecast,after_horizon
2020,colo_lease,2023,2.103750000000174,opening,before_reference
2020,colo_lease,2024,0.19124999999982606,opening,before_reference
2021,colo_lease,2024,2.805000000000232,opening,before_reference
2021,colo_lease,2025,0.2549999999997681,opening,before_reference
2022,colo_lease,2025,4.207500000000348,opening,before_reference
2022,colo_lease,2026,0.3824999999996521,opening,within_simulation
2023,colo_lease,2026,7.01250000000058,opening,within_simulation
2023,colo_lease,2027,0.6374999999994202,opening,within_simulation
2024,colo_lease,2027,9.817500000000813,opening,within_simulation
2024,colo_lease,2028,0.8924999999991884,opening,within_simulation
2025,colo_lease,2028,11.921250000000986,opening,within_simulation
2025,colo_lease,2029,1.0837499999990143,opening,within_simulation
2026,colo_lease,2029,14.02500000000116,forecast,within_simulation
2026,colo_lease,2030,1.2749999999988404,forecast,within_simulation
2027,colo_lease,2030,14.02500000000116,forecast,within_simulation
2027,colo_lease,2031,1.2749999999988404,forecast,within_simulation
2028,colo_lease,2031,14.02500000000116,forecast,within_simulation
2028,colo_lease,2032,1.2749999999988404,forecast,within_simulation
2029,colo_lease,2032,14.02500000000116,forecast,within_simulation
2029,colo_lease,2033,1.2749999999988404,forecast,within_simulation
2030,colo_lease,2033,14.02500000000116,forecast,within_simulation
2030,colo_lease,2034,1.2749999999988404,forecast,after_horizon
2031,colo_lease,2034,14.02500000000116,forecast,after_horizon
2031,colo_lease,2035,1.2749999999988404,forecast,after_horizon
2032,colo_lease,2035,14.02500000000116,forecast,after_horizon
2032,colo_lease,2036,1.2749999999988404,forecast,after_horizon
2033,colo_lease,2036,14.02500000000116,forecast,after_horizon
2033,colo_lease,2037,1.2749999999988404,forecast,after_horizon
