scenario,geography,booking_year,requested_service_year,signed_gw,allocation_weight,requested_gw,window
low,US,2024,2024,30.0,0.2,6.0,before
low,US,2024,2025,30.0,0.5,15.0,before
low,US,2024,2026,30.0,0.3,9.0,within
low,US,2025,2025,40.0,0.2,8.0,before
low,US,2025,2026,40.0,0.5,20.0,within
low,US,2025,2027,40.0,0.3,12.0,within
low,US,2026,2026,45.0,0.2,9.0,within
low,US,2026,2027,45.0,0.5,22.5,within
low,US,2026,2028,45.0,0.3,13.5,within
low,US,2027,2027,38.25,0.2,7.65,within
low,US,2027,2028,38.25,0.5,19.125,within
low,US,2027,2029,38.25,0.3,11.475,within
low,US,2028,2028,32.512499999999996,0.2,6.5024999999999995,within
low,US,2028,2029,32.512499999999996,0.5,16.256249999999998,within
low,US,2028,2030,32.512499999999996,0.3,9.753749999999998,within
low,US,2029,2029,27.635624999999997,0.2,5.527125,within
low,US,2029,2030,27.635624999999997,0.5,13.817812499999999,within
low,US,2029,2031,27.635624999999997,0.3,8.290687499999999,within
low,US,2030,2030,23.490281249999995,0.2,4.69805625,within
low,US,2030,2031,23.490281249999995,0.5,11.745140624999998,within
low,US,2030,2032,23.490281249999995,0.3,7.047084374999998,within
low,US,2031,2031,19.966739062499997,0.2,3.9933478124999997,within
low,US,2031,2032,19.966739062499997,0.5,9.983369531249998,within
low,US,2031,2033,19.966739062499997,0.3,5.990021718749999,within
low,US,2032,2032,16.971728203124997,0.2,3.3943456406249997,within
low,US,2032,2033,16.971728203124997,0.5,8.485864101562498,within
low,US,2032,2034,16.971728203124997,0.3,5.091518460937499,after
low,US,2033,2033,14.425968972656246,0.2,2.8851937945312494,within
low,US,2033,2034,14.425968972656246,0.5,7.212984486328123,after
low,US,2033,2035,14.425968972656246,0.3,4.327790691796873,after
base,US,2024,2024,30.0,0.2,6.0,before
base,US,2024,2025,30.0,0.5,15.0,before
base,US,2024,2026,30.0,0.3,9.0,within
base,US,2025,2025,40.0,0.2,8.0,before
base,US,2025,2026,40.0,0.5,20.0,within
base,US,2025,2027,40.0,0.3,12.0,within
base,US,2026,2026,45.0,0.2,9.0,within
base,US,2026,2027,45.0,0.5,22.5,within
base,US,2026,2028,45.0,0.3,13.5,within
base,US,2027,2027,45.0,0.2,9.0,within
base,US,2027,2028,45.0,0.5,22.5,within
base,US,2027,2029,45.0,0.3,13.5,within
base,US,2028,2028,45.0,0.2,9.0,within
base,US,2028,2029,45.0,0.5,22.5,within
base,US,2028,2030,45.0,0.3,13.5,within
base,US,2029,2029,45.0,0.2,9.0,within
base,US,2029,2030,45.0,0.5,22.5,within
base,US,2029,2031,45.0,0.3,13.5,within
base,US,2030,2030,45.0,0.2,9.0,within
base,US,2030,2031,45.0,0.5,22.5,within
base,US,2030,2032,45.0,0.3,13.5,within
base,US,2031,2031,45.0,0.2,9.0,within
base,US,2031,2032,45.0,0.5,22.5,within
base,US,2031,2033,45.0,0.3,13.5,within
base,US,2032,2032,45.0,0.2,9.0,within
base,US,2032,2033,45.0,0.5,22.5,within
base,US,2032,2034,45.0,0.3,13.5,after
base,US,2033,2033,45.0,0.2,9.0,within
base,US,2033,2034,45.0,0.5,22.5,after
base,US,2033,2035,45.0,0.3,13.5,after
high,US,2024,2024,30.0,0.2,6.0,before
high,US,2024,2025,30.0,0.5,15.0,before
high,US,2024,2026,30.0,0.3,9.0,within
high,US,2025,2025,40.0,0.2,8.0,before
high,US,2025,2026,40.0,0.5,20.0,within
high,US,2025,2027,40.0,0.3,12.0,within
high,US,2026,2026,45.0,0.2,9.0,within
high,US,2026,2027,45.0,0.5,22.5,within
high,US,2026,2028,45.0,0.3,13.5,within
high,US,2027,2027,51.74999999999999,0.2,10.35,within
high,US,2027,2028,51.74999999999999,0.5,25.874999999999996,within
high,US,2027,2029,51.74999999999999,0.3,15.524999999999997,within
high,US,2028,2028,59.51249999999999,0.2,11.902499999999998,within
high,US,2028,2029,59.51249999999999,0.5,29.756249999999994,within
high,US,2028,2030,59.51249999999999,0.3,17.853749999999994,within
high,US,2029,2029,68.43937499999998,0.2,13.687874999999998,within
high,US,2029,2030,68.43937499999998,0.5,34.21968749999999,within
high,US,2029,2031,68.43937499999998,0.3,20.531812499999994,within
high,US,2030,2030,78.70528124999997,0.2,15.741056249999994,within
high,US,2030,2031,78.70528124999997,0.5,39.352640624999985,within
high,US,2030,2032,78.70528124999997,0.3,23.61158437499999,within
high,US,2031,2031,90.51107343749997,0.2,18.102214687499995,within
high,US,2031,2032,90.51107343749997,0.5,45.25553671874999,within
high,US,2031,2033,90.51107343749997,0.3,27.153322031249992,within
high,US,2032,2032,104.08773445312495,0.2,20.817546890624993,within
high,US,2032,2033,104.08773445312495,0.5,52.043867226562476,within
high,US,2032,2034,104.08773445312495,0.3,31.226320335937483,after
high,US,2033,2033,119.7008946210937,0.2,23.940178924218742,within
high,US,2033,2034,119.7008946210937,0.5,59.85044731054685,after
high,US,2033,2035,119.7008946210937,0.3,35.910268386328106,after
