capital_year,requested_service_year,us_merchant_capital_implied_gw,allocation_weight,requested_gw,window
2025,2025,4.0,0.5,2.0,before
2025,2026,4.0,0.5,2.0,within
2026,2026,5.618666666666667,0.5,2.8093333333333335,within
2026,2027,5.618666666666667,0.5,2.8093333333333335,within
2027,2027,6.188416666666668,0.5,3.094208333333334,within
2027,2028,6.188416666666668,0.5,3.094208333333334,within
2028,2028,6.815930000000001,0.5,3.4079650000000004,within
2028,2029,6.815930000000001,0.5,3.4079650000000004,within
2029,2029,7.507061833333335,0.5,3.7535309166666675,within
2029,2030,7.507061833333335,0.5,3.7535309166666675,within
2030,2030,8.268260733333337,0.5,4.134130366666668,within
2030,2031,8.268260733333337,0.5,4.134130366666668,within
2031,2031,9.106628795000004,0.5,4.553314397500002,within
2031,2032,9.106628795000004,0.5,4.553314397500002,within
2032,2032,10.02998786166667,0.5,5.014993930833335,within
2032,2033,10.02998786166667,0.5,5.014993930833335,within
2033,2033,11.046952453716674,0.5,5.523476226858337,within
2033,2034,11.046952453716674,0.5,5.523476226858337,after
