scenario,year,segment,share,role,capital_usd_bn,implied_gw,merchant_fraction,merchant_capital_usd_bn,merchant_addressable_gw,us_merchant_capital_implied_gw,path_evidence,calculation_evidence,capacity_cost_evidence
base,2026,Hyperscalers,0.72,Fund capacity for internal use and resale,451.5,12.9,0.4,180.60000000000002,5.16,3.6119999999999997,assumption,derived,calibrated
base,2026,Neoclouds,0.16,Fund capacity for assumed resale; consumers unidentified,100.33333333333334,2.866666666666667,1.0,100.33333333333334,2.866666666666667,2.006666666666667,assumption,derived,calibrated
base,2026,Enterprise and sovereign,0.12,Fund self-build; consumers not separately measured,75.25,2.15,0.0,0.0,0.0,0.0,assumption,derived,calibrated
base,2027,Hyperscalers,0.7142857142857143,Fund capacity for internal use and resale,492.70833333333337,14.077380952380954,0.4,197.08333333333337,5.630952380952382,3.9416666666666673,assumption,derived,calibrated
base,2027,Neoclouds,0.16285714285714287,Fund capacity for assumed resale; consumers unidentified,112.33750000000002,3.2096428571428577,1.0,112.33750000000002,3.2096428571428577,2.24675,assumption,derived,calibrated
base,2027,Enterprise and sovereign,0.12285714285714286,Fund self-build; consumers not separately measured,84.74583333333334,2.421309523809524,0.0,0.0,0.0,0.0,assumption,derived,calibrated
base,2028,Hyperscalers,0.7085714285714285,Fund capacity for internal use and resale,537.6433333333334,15.361238095238098,0.4,215.0573333333334,6.14449523809524,4.301146666666668,assumption,derived,calibrated
base,2028,Neoclouds,0.1657142857142857,Fund capacity for assumed resale; consumers unidentified,125.73916666666668,3.5925476190476195,1.0,125.73916666666668,3.5925476190476195,2.5147833333333334,assumption,derived,calibrated
base,2028,Enterprise and sovereign,0.12571428571428572,Fund self-build; consumers not separately measured,95.38833333333336,2.725380952380953,0.0,0.0,0.0,0.0,assumption,derived,calibrated
base,2029,Hyperscalers,0.7028571428571428,Fund capacity for internal use and resale,586.6382500000002,16.761092857142863,0.4,234.6553000000001,6.704437142857145,4.693106000000001,assumption,derived,calibrated
base,2029,Neoclouds,0.16857142857142857,Fund capacity for assumed resale; consumers unidentified,140.69779166666672,4.019936904761906,1.0,140.69779166666672,4.019936904761906,2.813955833333334,assumption,derived,calibrated
base,2029,Enterprise and sovereign,0.1285714285714286,Fund self-build; consumers not separately measured,107.31187500000006,3.066053571428573,0.0,0.0,0.0,0.0,assumption,derived,calibrated
base,2030,Hyperscalers,0.6971428571428572,Fund capacity for internal use and resale,640.055716666667,18.287306190476198,0.4,256.0222866666668,7.314922476190479,5.1204457333333355,assumption,derived,calibrated
base,2030,Neoclouds,0.17142857142857143,Fund capacity for assumed resale; consumers unidentified,157.39075000000005,4.496878571428573,1.0,157.39075000000005,4.496878571428573,3.1478150000000005,assumption,derived,calibrated
base,2030,Enterprise and sovereign,0.13142857142857142,Fund self-build; consumers not separately measured,120.6662416666667,3.447606904761906,0.0,0.0,0.0,0.0,assumption,derived,calibrated
base,2031,Hyperscalers,0.6914285714285715,Fund capacity for internal use and resale,698.2902941666671,19.951151261904773,0.4,279.31611766666686,7.9804605047619095,5.586322353333336,assumption,derived,calibrated
base,2031,Neoclouds,0.1742857142857143,Fund capacity for assumed resale; consumers unidentified,176.01532208333342,5.029009202380955,1.0,176.01532208333342,5.029009202380955,3.5203064416666683,assumption,derived,calibrated
base,2031,Enterprise and sovereign,0.13428571428571429,Fund self-build; consumers not separately measured,135.6183629166667,3.8748103690476206,0.0,0.0,0.0,0.0,assumption,derived,calibrated
base,2032,Hyperscalers,0.6857142857142857,Fund capacity for internal use and resale,761.7712300000004,21.764892285714296,0.4,304.70849200000015,8.70595691428572,6.094169840000004,assumption,derived,calibrated
base,2032,Neoclouds,0.17714285714285713,Fund capacity for assumed resale; consumers unidentified,196.7909010833334,5.622597173809526,1.0,196.7909010833334,5.622597173809526,3.935818021666668,assumption,derived,calibrated
base,2032,Enterprise and sovereign,0.13714285714285715,Fund self-build; consumers not separately measured,152.35424600000007,4.352978457142859,0.0,0.0,0.0,0.0,assumption,derived,calibrated
base,2033,Hyperscalers,0.68,Fund capacity for internal use and resale,830.9654500583339,23.741870001666683,0.4,332.38618002333357,9.496748000666674,6.647723600466671,assumption,derived,calibrated
base,2033,Neoclouds,0.18,Fund capacity for assumed resale; consumers unidentified,219.96144266250013,6.284612647500004,1.0,219.96144266250013,6.284612647500004,4.399228853250002,assumption,derived,calibrated
base,2033,Enterprise and sovereign,0.14,Fund self-build; consumers not separately measured,171.08112207083346,4.888032059166671,0.0,0.0,0.0,0.0,assumption,derived,calibrated
hyperscaler-heavy,2026,Hyperscalers,0.72,Fund capacity for internal use and resale,451.5,12.9,0.4,180.60000000000002,5.16,3.6119999999999997,assumption,derived,calibrated
hyperscaler-heavy,2026,Neoclouds,0.16,Fund capacity for assumed resale; consumers unidentified,100.33333333333334,2.866666666666667,1.0,100.33333333333334,2.866666666666667,2.006666666666667,assumption,derived,calibrated
hyperscaler-heavy,2026,Enterprise and sovereign,0.12,Fund self-build; consumers not separately measured,75.25,2.15,0.0,0.0,0.0,0.0,assumption,derived,calibrated
hyperscaler-heavy,2027,Hyperscalers,0.7342857142857142,Fund capacity for internal use and resale,506.50416666666666,14.47154761904762,0.4,202.6016666666667,5.788619047619048,4.052033333333333,assumption,derived,calibrated
hyperscaler-heavy,2027,Neoclouds,0.15142857142857144,Fund capacity for assumed resale; consumers unidentified,104.45416666666668,2.9844047619047624,1.0,104.45416666666668,2.9844047619047624,2.0890833333333334,assumption,derived,calibrated
hyperscaler-heavy,2027,Enterprise and sovereign,0.11428571428571428,Fund self-build; consumers not separately measured,78.83333333333334,2.252380952380953,0.0,0.0,0.0,0.0,assumption,derived,calibrated
hyperscaler-heavy,2028,Hyperscalers,0.7485714285714286,Fund capacity for internal use and resale,567.9941666666667,16.228404761904763,0.4,227.1976666666667,6.491361904761906,4.5439533333333335,assumption,derived,calibrated
hyperscaler-heavy,2028,Neoclouds,0.14285714285714285,Fund capacity for assumed resale; consumers unidentified,108.39583333333334,3.09702380952381,1.0,108.39583333333334,3.09702380952381,2.1679166666666667,assumption,derived,calibrated
hyperscaler-heavy,2028,Enterprise and sovereign,0.10857142857142857,Fund self-build; consumers not separately measured,82.38083333333334,2.3537380952380955,0.0,0.0,0.0,0.0,assumption,derived,calibrated
