pathway,component,months,binding
grid_queue,site_permitting,12.0,False
grid_queue,shell_fitout,18.0,False
grid_queue,transformer,37.0,False
grid_queue,switchgear,21.0,False
grid_queue,commissioning_ready,18.0,False
grid_queue,interconnection,60.0,True
btm_large_frame,site_permitting,12.0,False
btm_large_frame,shell_fitout,18.0,False
btm_large_frame,transformer,37.0,False
btm_large_frame,switchgear,21.0,False
btm_large_frame,commissioning_ready,18.0,False
btm_large_frame,generation,66.0,True
btm_large_frame,gsu,33.0,False
btm_aeroderivative,site_permitting,12.0,False
btm_aeroderivative,shell_fitout,18.0,False
btm_aeroderivative,transformer,37.0,True
btm_aeroderivative,switchgear,21.0,False
btm_aeroderivative,commissioning_ready,18.0,False
btm_aeroderivative,generation,27.0,False
btm_aeroderivative,gsu,33.0,False
colo_lease,site_permitting,12.0,False
colo_lease,shell_fitout,18.0,False
colo_lease,transformer,37.0,True
colo_lease,switchgear,21.0,False
colo_lease,commissioning_ready,18.0,False
