year,pathway,uncapped_gw,backlog_start_gw,equipment_ceiling_gw,energized_gw,equipment_backlog_gw,opening_cohort_energized_gw,forecast_cohort_energized_gw,lead_time_months,binding_constraints,project_conversion
2026,grid_queue,1.17,0.0,,1.17,0.0,1.17,0.0,60.0,interconnection,0.13
2027,grid_queue,1.7550000000000001,0.0,,1.7550000000000001,0.0,1.7550000000000001,0.0,60.0,interconnection,0.13
2028,grid_queue,2.9250000000000003,0.0,,2.9250000000000003,0.0,2.9250000000000003,0.0,60.0,interconnection,0.13
2029,grid_queue,4.095,0.0,,4.095,0.0,4.095,0.0,60.0,interconnection,0.13
2030,grid_queue,4.9725,0.0,,4.9725,0.0,4.9725,0.0,60.0,interconnection,0.13
2031,grid_queue,5.8500000000000005,0.0,,5.8500000000000005,0.0,0.0,5.8500000000000005,60.0,interconnection,0.13
2032,grid_queue,5.8500000000000005,0.0,,5.8500000000000005,0.0,0.0,5.8500000000000005,60.0,interconnection,0.13
2033,grid_queue,5.8500000000000005,0.0,,5.8500000000000005,0.0,0.0,5.8500000000000005,60.0,interconnection,0.13
2026,btm_large_frame,0.8085,0.0,9.538043478260871,0.8085,0.0,0.8085,0.0,66.0,generation,0.23099999999999998
2027,btm_large_frame,1.1549999999999998,0.0,9.538043478260871,1.1549999999999998,0.0,1.1549999999999998,0.0,66.0,generation,0.23099999999999998
2028,btm_large_frame,1.8479999999999999,1.1102230246251565e-16,9.538043478260871,1.8479999999999999,0.0,1.8479999999999999,0.0,66.0,generation,0.23099999999999998
2029,btm_large_frame,2.772,0.0,9.538043478260871,2.772,0.0,2.772,0.0,66.0,generation,0.23099999999999998
2030,btm_large_frame,3.5805,0.0,9.538043478260871,3.5805,0.0,3.5805,0.0,66.0,generation,0.23099999999999998
2031,btm_large_frame,4.273499999999999,0.0,9.538043478260871,4.273499999999999,0.0,1.9634999999999998,2.3099999999999996,66.0,generation,0.23099999999999998
2032,btm_large_frame,4.619999999999999,0.0,9.538043478260871,4.619999999999999,0.0,0.0,4.619999999999999,66.0,generation,0.23099999999999998
2033,btm_large_frame,4.619999999999999,0.0,9.538043478260871,4.619999999999999,0.0,0.0,4.619999999999999,66.0,generation,0.23099999999999998
2026,btm_aeroderivative,1.91400000000006,0.0,3.179347826086957,1.91400000000006,0.0,1.91400000000006,0.0,37.0,transformer,0.264
2027,btm_aeroderivative,2.7060000000000604,0.0,3.179347826086957,2.7060000000000604,0.0,2.7060000000000604,0.0,37.0,transformer,0.264
2028,btm_aeroderivative,3.316500000000045,0.0,3.179347826086957,3.179347826086957,0.13715217391308787,3.179347826086957,0.0,37.0,transformer,0.264
2029,btm_aeroderivative,3.910500000000045,0.13715217391308787,3.179347826086957,3.179347826086957,0.868304347826176,0.41765217391283277,2.761695652174124,37.0,transformer,0.264
2030,btm_aeroderivative,3.96,0.868304347826176,3.179347826086957,3.179347826086957,1.648956521739219,0.0,3.179347826086957,37.0,transformer,0.264
2031,btm_aeroderivative,3.96,1.648956521739219,3.179347826086957,3.179347826086957,2.429608695652262,0.0,3.179347826086957,37.0,transformer,0.264
2032,btm_aeroderivative,3.96,2.429608695652262,3.179347826086957,3.179347826086957,3.210260869565305,0.0,3.179347826086957,37.0,transformer,0.264
2033,btm_aeroderivative,3.96,3.210260869565305,3.179347826086957,3.179347826086957,3.990913043478348,0.0,3.179347826086957,37.0,transformer,0.264
2026,colo_lease,7.395000000000232,0.0,,7.395000000000232,0.0,7.395000000000232,0.0,37.0,transformer,0.765
2027,colo_lease,10.455000000000233,0.0,,10.455000000000233,0.0,10.455000000000233,0.0,37.0,transformer,0.765
2028,colo_lease,12.813750000000175,0.0,,12.813750000000175,0.0,12.813750000000175,0.0,37.0,transformer,0.765
2029,colo_lease,15.108750000000175,0.0,,15.108750000000175,0.0,1.0837499999990143,14.02500000000116,37.0,transformer,0.765
2030,colo_lease,15.3,0.0,,15.3,0.0,0.0,15.3,37.0,transformer,0.765
2031,colo_lease,15.3,0.0,,15.3,0.0,0.0,15.3,37.0,transformer,0.765
2032,colo_lease,15.3,0.0,,15.3,0.0,0.0,15.3,37.0,transformer,0.765
2033,colo_lease,15.3,0.0,,15.3,0.0,0.0,15.3,37.0,transformer,0.765
