scenario,year,merchant_requested_service_gw,total_energized_gw,merchant_energized_gw,ready_for_occupancy_additions_gw,demand_backlog_start_gw,available_ready_start_gw,occupied_additions_gw,deferred_gw,available_ready_end_gw,energized_not_ready_gw,coverage,cumulative_occupied_gw,annualized_revenue_opportunity_usd_bn,capital_usd_bn,merchant_capital_usd_bn,merchant_addressable_gw,us_merchant_capital_implied_gw,us_merchant_provider_capital_spend_usd_bn,ready_capacity_occupancy_ratio,ready_additions_minus_requested_gw,requested_additions_annual_spend_opportunity_usd_bn,delta_vs_static_merchant_requested_service_gw,delta_vs_static_deferred_gw,delta_vs_static_annualized_revenue_opportunity_usd_bn,delta_vs_static_ready_capacity_occupancy_ratio
base,2026,4.809333333333333,11.287500000000293,5.079375000000132,2.539687500000066,0.0,0.0,2.539687500000066,2.269645833333267,0.0,2.539687500000066,0.5280747504851815,2.539687500000066,21.58734375000056,627.0833333333334,280.9333333333334,8.026666666666667,5.618666666666666,196.65333333333336,1.0,-2.269645833333267,40.87933333333333,0.0,0.0,0.0,0.0
base,2027,5.903541666666667,16.071000000000293,7.231950000000132,6.1556625000001315,2.269645833333267,0.0,6.1556625000001315,2.017524999999802,0.0,3.6159750000000663,0.7531532220446652,8.695350000000197,73.91047500000167,689.7916666666667,309.4208333333334,8.84059523809524,6.188416666666667,216.59458333333336,1.0,0.25212083333346413,50.18010416666667,0.003941666666666954,0.003941666666666066,0.0,0.0
base,2028,6.502173333333334,20.766097826087133,9.34474402173921,8.288347010869671,2.017524999999802,0.0,8.288347010869671,0.23135132246346402,0.0,4.672372010869605,0.9728451274432679,16.983697010869868,144.3614245923939,758.7708333333335,340.79650000000004,9.737042857142859,6.815930000000002,238.55755000000002,1.0,1.786173677536337,55.26847333333334,0.012613333333333365,0.016554999999998543,0.0,0.0
base,2029,7.161495916666668,25.15509782608713,11.319794021739208,10.332269021739208,0.23135132246346402,0.0,7.392847239130132,0.0,2.9394217826090756,5.6598970108696065,1.0,24.376544250000002,207.200626125,834.647916666667,375.35309166666684,10.724374047619051,7.507061833333335,262.7471641666668,0.8923918056165369,3.1707731050725396,60.87271529166668,0.02297991666666732,0.0,0.33604679166666074,0.0014473190008902348
base,2030,7.887661283333336,27.03234782608696,12.164556521739131,11.74217527173917,0.0,2.9394217826090756,7.887661283333336,0.0,6.793935771014909,6.082278260869565,1.0,32.26420553333334,274.2457470333334,918.1127083333338,413.4130366666668,11.811801047619053,8.268260733333335,289.38912566666676,0.8260558351183354,3.8545139884058335,67.04512090833336,0.03529368333333327,0.0,0.6360431000000517,0.0019158259328553306
base,2031,8.68744476416667,28.602847826086958,12.871281521739132,12.517919021739132,0.0,6.793935771014909,8.68744476416667,0.0,10.62441002858737,6.435640760869568,1.0,40.95165029750001,348.0890275287501,1009.9239791666672,455.3314397500003,13.009469707142864,9.106628795000004,318.7320078250002,0.7940050100489451,3.8304742575724617,73.8432804954167,0.04984040416666602,0.0,1.059686535416688,0.0024171874194819365
base,2032,9.568308328333337,28.949347826086957,13.027206521739132,12.949244021739132,0.0,10.62441002858737,9.568308328333337,0.0,14.005345721993166,6.513603260869573,1.0,50.51995862583335,429.4196483195835,1110.9163770833338,501.49939308333353,14.328554088095245,10.029987861666672,351.0495751583334,0.7829480098769201,3.380935693405794,81.33062079083336,0.06694353233333317,0.0,1.628706560250066,0.002969571990968145
base,2033,10.538470157691673,28.949347826086957,13.027206521739132,13.027206521739132,0.0,14.005345721993166,10.538470157691673,0.0,16.494082086040624,6.513603260869573,1.0,61.05842878352502,518.9966446599626,1222.0080147916674,552.3476226858337,15.781360648166679,11.046952453716674,386.64333588008355,0.7873172396212708,2.4887363640474582,89.57699634037922,0.08696888209166787,0.0,2.3679420580291435,0.0035921650436335772
hyperscaler-heavy,2026,4.809333333333333,11.287500000000293,5.079375000000132,2.539687500000066,0.0,0.0,2.539687500000066,2.269645833333267,0.0,2.539687500000066,0.5280747504851815,2.539687500000066,21.58734375000056,627.0833333333334,280.9333333333334,8.026666666666667,5.618666666666666,196.65333333333336,1.0,-2.269645833333267,40.87933333333333,0.0,0.0,0.0,0.0
hyperscaler-heavy,2027,5.879891666666667,16.071000000000293,7.231950000000132,6.1556625000001315,2.269645833333267,0.0,6.1556625000001315,1.993874999999802,0.0,3.6159750000000663,0.7553388765927124,8.695350000000197,73.91047500000167,689.7916666666667,307.05583333333334,8.77302380952381,6.141116666666667,214.93908333333331,1.0,0.2757708333334641,49.97907916666667,-0.019708333333332995,-0.019708333333333883,0.0,0.0
