topology,pathway,component,months,binding
base,grid_queue,site_permitting,12.0,False
base,grid_queue,shell_fitout,18.0,False
base,grid_queue,transformer,37.0,False
base,grid_queue,switchgear,21.0,False
base,grid_queue,commissioning_ready,18.0,False
base,grid_queue,interconnection,60.0,True
base,btm_large_frame,site_permitting,12.0,False
base,btm_large_frame,shell_fitout,18.0,False
base,btm_large_frame,transformer,37.0,False
base,btm_large_frame,switchgear,21.0,False
base,btm_large_frame,commissioning_ready,18.0,False
base,btm_large_frame,generation,66.0,True
base,btm_large_frame,gsu,33.0,False
base,btm_aeroderivative,site_permitting,12.0,False
base,btm_aeroderivative,shell_fitout,18.0,False
base,btm_aeroderivative,transformer,37.0,True
base,btm_aeroderivative,switchgear,21.0,False
base,btm_aeroderivative,commissioning_ready,18.0,False
base,btm_aeroderivative,generation,27.0,False
base,btm_aeroderivative,gsu,33.0,False
base,colo_lease,site_permitting,12.0,False
base,colo_lease,shell_fitout,18.0,False
base,colo_lease,transformer,37.0,True
base,colo_lease,switchgear,21.0,False
base,colo_lease,commissioning_ready,18.0,False
alternative-btm,grid_queue,site_permitting,12.0,False
alternative-btm,grid_queue,shell_fitout,18.0,False
alternative-btm,grid_queue,transformer,37.0,False
alternative-btm,grid_queue,switchgear,21.0,False
alternative-btm,grid_queue,commissioning_ready,18.0,False
alternative-btm,grid_queue,interconnection,60.0,True
alternative-btm,btm_large_frame,site_permitting,12.0,False
alternative-btm,btm_large_frame,shell_fitout,18.0,False
alternative-btm,btm_large_frame,transformer,37.0,False
alternative-btm,btm_large_frame,switchgear,21.0,False
alternative-btm,btm_large_frame,commissioning_ready,18.0,False
alternative-btm,btm_large_frame,generation,66.0,True
alternative-btm,btm_large_frame,gsu,33.0,False
alternative-btm,btm_aeroderivative,site_permitting,12.0,False
alternative-btm,btm_aeroderivative,shell_fitout,18.0,False
alternative-btm,btm_aeroderivative,switchgear,21.0,False
alternative-btm,btm_aeroderivative,commissioning_ready,18.0,False
alternative-btm,btm_aeroderivative,generation,27.0,True
alternative-btm,colo_lease,site_permitting,12.0,False
alternative-btm,colo_lease,shell_fitout,18.0,False
alternative-btm,colo_lease,transformer,37.0,True
alternative-btm,colo_lease,switchgear,21.0,False
alternative-btm,colo_lease,commissioning_ready,18.0,False
