site_id,category,total_capex_usd
S01,land_and_site,45000000
S01,utility_interconnection,70000000
S01,shell_and_construction,210000000
S01,electrical_and_mechanical,360000000
S01,networking_and_storage,85000000
S01,gpu_and_compute,480000000
S01,professional_fees_and_contingency,100000000
S02,land_and_site,60000000
S02,utility_interconnection,95000000
S02,shell_and_construction,300000000
S02,electrical_and_mechanical,520000000
S02,networking_and_storage,125000000
S02,gpu_and_compute,720000000
S02,professional_fees_and_contingency,145000000
S03,land_and_site,35000000
S03,utility_interconnection,55000000
S03,shell_and_construction,160000000
S03,electrical_and_mechanical,275000000
S03,networking_and_storage,65000000
S03,gpu_and_compute,360000000
S03,professional_fees_and_contingency,80000000
