site_id,milestone,planned_date,spend_weight
S01,site_control,2027-01-01,0.03
S01,design_complete,2027-05-01,0.07
S01,construction_start,2027-06-01,0.15
S01,power_ready,2028-01-01,0.35
S01,commissioning,2028-02-01,0.25
S01,ready_for_service,2028-04-01,0.15
S02,site_control,2027-04-01,0.03
S02,design_complete,2027-09-01,0.07
S02,construction_start,2027-10-01,0.15
S02,power_ready,2028-07-01,0.35
S02,commissioning,2028-08-01,0.25
S02,ready_for_service,2028-10-01,0.15
S03,site_control,2027-09-01,0.03
S03,design_complete,2028-02-01,0.07
S03,construction_start,2028-03-01,0.15
S03,power_ready,2029-01-01,0.35
S03,commissioning,2029-02-01,0.25
S03,ready_for_service,2029-04-01,0.15
