simulation_id,schedule_delay_months,capex_multiplier,utilization_multiplier,power_cost_multiplier,price_multiplier,debt_rate_shift_bps,total_capex_usd,portfolio_unlevered_npv_usd,total_ebitda_usd,incremental_funding_required_usd,minimum_cash_pre_support_usd,latest_ready_for_service,npv_positive
1,8.374508625714094,1.0951295709319022,0.9840447179742212,1.1086606595736972,0.9336173790568479,300.6262738258048,4758337985.699116,93448912.38342714,1000815211.3943934,486327767.70864725,-436327767.70864725,2029-12-01,True
2,8.217228889074843,1.1734994467787438,0.8178922863362115,1.063002820531081,0.96670514441024,264.4225431837343,5098855096.253642,-810238452.0971905,835455940.4612746,690031795.8472356,-640031795.8472356,2029-12-01,False
3,6.9389177041542025,1.184859080569322,0.9021191425201764,1.0265960612204599,0.9816124299573838,11.879199786766144,5148212705.073704,-308601170.5029079,1033683857.2318039,466209379.2159821,-416209379.2159821,2029-11-01,False
4,9.0876038513737,1.1340135458970535,0.9606520246581907,1.048163565715474,1.0324594542886056,246.61775845059157,4927288856.922697,472231531.59834063,1100972132.1050024,415735922.2246257,-365735922.2246257,2030-01-01,True
5,8.429873393748277,1.0491137434987459,0.9068441357891175,0.978020050907101,0.9430287567193217,171.96880982323762,4558399215.50205,-13812031.777569294,934430421.1560395,424351587.8271184,-374351587.8271184,2029-12-01,False
6,8.02226646855971,1.2507022108617325,0.8761144989702551,1.050569810336334,0.9750644372210283,56.62214378381792,5434301106.194227,-727771802.2553059,933249427.6140585,599904615.0309271,-549904615.0309271,2029-12-01,False
7,2.697332812017533,1.1019664889007414,0.8502797732152083,1.1028117996943727,0.9724280541397321,220.6470704072913,4788044394.273721,-419127704.4482707,1102494130.083076,567232633.6682866,-517232633.66828656,2029-07-01,False
8,7.522123363347745,1.0728918020424303,0.9772727366397522,1.1345086182539905,0.9681890060666827,81.52827162178724,4661714879.874359,328348078.45441914,1050214959.5085783,356066395.1041521,-306066395.1041521,2029-12-01,True
9,7.332869474541282,1.0355109351767005,0.8422830059539677,0.9555870106750198,1.002699957333766,166.92920948224213,4499295013.342763,49106288.30554128,989649280.8208709,399163621.7160069,-349163621.7160069,2029-11-01,True
10,7.575294015107533,1.1719317819302666,0.905275200742754,1.0832143124176028,0.9409580758524114,32.89634739937826,5092043592.487007,-523749298.9482708,911556597.147148,517402757.7267437,-467402757.7267437,2029-12-01,False
11,7.186514449319352,1.1010980045839316,0.9256201856938976,1.124262948338544,0.9880689283154749,138.71332286629993,4784270829.917183,100934208.00807762,1063859441.9452676,412840776.7689575,-362840776.7689575,2029-11-01,True
12,6.144365239164813,1.0713605136525266,0.768012227876676,1.060815433661949,0.95074461620541,106.79815866746324,4655061431.820228,-820253393.892521,816162296.4800273,581971906.7153194,-531971906.7153194,2029-10-01,False
13,9.469705336023193,1.0576971392790286,0.7860382092302792,1.0363621732669301,0.9593559187714267,166.12953329229163,4595694070.167379,-618973260.0312837,744526589.5096607,540055823.7119952,-490055823.71199524,2030-01-01,False
14,6.125008020815447,1.1728606514141264,0.9429700570168361,1.0560544947602253,1.0058096621306576,50.0918338050724,5096079530.394379,89579060.89906561,1187499501.4698415,408313008.754885,-358313008.754885,2029-10-01,True
15,1.1277748425533294,1.0206131398266596,0.9535681509337322,1.0648629169031558,0.9439916054310731,126.62694323248462,4434564092.546836,258777862.76514637,1326790347.929009,355079512.6168689,-305079512.6168689,2029-05-01,True
16,2.9205269647680763,1.149284254491492,0.9026813877025722,1.0521655246966082,0.9601510188589896,157.71962999798666,4993640085.765533,-351851869.676301,1178800441.5542352,539976067.163991,-489976067.163991,2029-07-01,False
17,4.54768628734079,1.0198006413686085,0.813951271830745,1.193397069612763,1.0190177026744283,176.71039667964772,4431033786.746604,-96685265.09191704,1022419545.5221208,427493971.5526457,-377493971.5526457,2029-09-01,False
18,3.8585901365308413,1.2519832636012167,0.9649896683607747,1.1129674875555975,0.9734325406459934,77.80646975294147,5439867280.347286,-326041220.1723037,1251719615.5833814,534247741.605443,-484247741.605443,2029-08-01,False
19,2.323336798786599,1.2146457924966751,0.9046403706656648,1.021718975998495,0.9605927346288962,144.8706673685833,5277635968.398053,-570748926.1013792,1236250863.8755941,615516642.257442,-565516642.257442,2029-06-01,False
20,3.1463114665584166,1.1964372096267666,0.9607407274723241,1.1135460103009929,0.9720077528971793,156.94789322632172,5198519675.8283,-165970651.7090751,1292489139.7371335,515773501.1922287,-465773501.1922287,2029-07-01,False
21,6.3693850606771525,1.1381621978532226,0.7994760040594877,1.0575199241662936,0.9223465900383641,125.05352175339996,4945314749.672253,-1037803854.5142205,817535946.0085068,671167886.9525602,-621167886.9525602,2029-10-01,False
22,4.313956934154687,1.036789236913351,0.8079462448638193,1.086689010877007,0.9452450618569876,263.4668377885086,4504849234.38851,-544124822.1724205,941556572.8079112,587176851.0583956,-537176851.0583956,2029-08-01,False
23,6.341577157015636,1.0789633894314605,0.9302390990344326,0.967432239135368,1.029140271790725,122.47053749962407,4688095927.079697,548155470.078737,1227225977.1174932,343214425.8969352,-293214425.8969352,2029-10-01,True
24,8.4848328960076,1.018098055017664,0.910793194707501,1.0696189525745534,1.0244496140388706,143.05267635846926,4423636049.051749,545228330.2283734,1063921542.6633468,323692229.9229028,-273692229.9229028,2029-12-01,True
25,5.414460771039105,1.0643676532942523,0.8774844786041561,1.0747073109326297,0.9725736696306626,-13.98993484010581,4624677453.563526,-113818247.90560615,1064293321.6295185,368924277.84901905,-318924277.84901905,2029-09-01,False
26,9.068556944180546,1.211868426393344,0.822423785602252,1.080563680993714,0.9360958293106741,168.9585939735917,5265568312.679079,-1102868575.495851,752145534.3021684,710658170.8714558,-660658170.8714558,2030-01-01,False
27,3.968512554469806,1.1403905174338136,0.9544603404539546,1.1251649314856582,0.9359567984040676,258.3549483810544,4954996798.24992,-222120064.14996588,1152944249.1545103,562883324.7991067,-512883324.7991067,2029-08-01,False
28,3.590540835321794,0.9990695826953415,0.9237227643403725,1.0506394185163106,1.007724620674562,211.52670729137037,4340957336.811258,610313277.9147542,1264254376.6856694,332587145.11487436,-282587145.11487436,2029-08-01,True
29,4.222446369115644,1.2406440799179805,0.867514929050862,1.073741936635265,0.9554218466564516,270.02723591682184,5390598527.243626,-886981021.3269489,1060477313.8260834,773979587.7338303,-723979587.7338303,2029-08-01,False
30,3.0361221623302668,1.002805995738997,0.9004030489992539,1.2191531093729235,1.0162748060891653,191.4465451202495,4357192051.485942,411776734.77854776,1257516543.828216,346826657.01626205,-296826657.01626205,2029-07-01,True
31,10.089878355216232,1.210724071830085,0.9170040744677794,1.0421061149511437,1.0010728146851402,166.06013568770936,5260596092.101719,-247817615.72511446,936175610.6362741,524911079.322786,-474911079.322786,2030-02-01,False
32,4.635817282982963,1.0220825261801565,0.958358552465248,1.0330655523029575,1.0242422454512177,70.24239892958342,4440948576.25278,838114444.8557564,1308121703.493656,284636528.8060747,-234636528.80607468,2029-09-01,True
33,2.621916134250525,1.1876043945473977,0.8270778543094329,1.0169145900932026,0.985142612687288,238.00091109185954,5160141094.308443,-735303876.775937,1101788153.830481,693243070.1115186,-643243070.1115186,2029-07-01,False
34,3.316676239854608,1.072522023863437,0.964701088150179,1.1999263962872708,0.9775170576997612,42.918513510898606,4660108193.686634,275726157.49111676,1293313360.8892772,346935620.9046082,-296935620.9046082,2029-07-01,True
35,0.8834206878148635,1.0567985848241248,0.8192990528173948,1.1044512795926604,0.9382359785482518,127.81312631494924,4591789851.060822,-651929979.0743616,1062290036.4085213,560480788.5458038,-510480788.5458038,2029-05-01,False
36,7.4575800341161305,1.1229901764582642,0.8422424588437761,1.134335900100313,0.9953353392123021,188.44010519796126,4879392316.711158,-388513984.82861066,948876036.715415,544698465.6875265,-494698465.68752646,2029-11-01,False
37,2.7091020813563933,1.0310574076992263,1.0056359685183809,1.0546947303718042,0.9600947942951075,123.85492385451622,4479944436.453138,628823128.5127648,1356521433.6277144,325469046.2972736,-275469046.2972736,2029-07-01,True
38,7.129846419977319,1.2423859359801217,0.8663768348160927,1.174533065374844,0.9172717658806236,139.0967146597343,5398166891.833629,-1143833307.8877819,845978332.0395116,742575285.0377035,-692575285.0377035,2029-11-01,False
39,6.841544554539151,1.0257313781464434,0.822456829252035,1.058037136209141,1.0311701056164249,149.0130733690305,4456802838.046297,72966082.55483162,988937189.9861645,381958962.76449746,-331958962.76449746,2029-11-01,True
40,10.937852228260297,1.1790297412082218,0.9069763188115966,1.1292368139108244,0.9146301540567369,30.92366653794238,5122884225.549723,-777514301.2909336,732594358.434372,544772491.0930642,-494772491.0930642,2030-03-01,False
41,9.113283933312996,1.1767194995415824,0.8519148494260189,1.076457548826447,0.9856817764342805,234.9951973942006,5112846225.508175,-556467845.0352151,866933834.8776343,614147573.1848487,-564147573.1848487,2030-01-01,False
42,6.54580668532279,1.090382141461352,0.8872990330123198,1.0591002457804048,0.9895456847577423,234.88728643295948,4737710404.649574,-18877489.644551396,1019680581.9427071,472977463.1040149,-422977463.1040149,2029-11-01,False
43,5.256177237082282,1.0605577156085768,0.8530501587831412,1.119678821373278,1.0061134646611407,29.47757414042968,4608123274.319266,-62366186.34429145,1077860884.7170136,373852907.16034895,-323852907.16034895,2029-09-01,False
44,1.9306206228801082,1.1258266324864292,0.8245646147872875,1.140029298572089,0.961024717017688,42.910257659036546,4891716718.153535,-757366070.2632486,1070122448.70316,567932462.7624894,-517932462.76248944,2029-06-01,False
45,10.673720719519036,1.0421808632687644,0.8659351299683444,1.0111986098272847,0.9372274195182028,-14.37864432413609,4528275850.9027815,-327614937.71801066,734735778.8448769,386490228.0326062,-336490228.0326062,2030-03-01,False
46,1.76129012749137,1.0444119186737442,0.78318994034269,1.0873408945340153,0.9920992446629132,103.75428061223647,4537969786.637419,-487693674.30826306,1064042077.7526412,495542462.24149656,-445542462.24149656,2029-06-01,False
47,4.22854942054594,1.1074865265215519,0.988587127513116,1.14788324109515,0.9228407693424172,54.35470557570197,4812028957.736142,-43618540.49759138,1174448864.072396,407822388.08460265,-357822388.08460265,2029-08-01,False
48,3.6411142225761304,1.0608712699134608,0.9267080123032472,1.0575910042379542,0.9243115083680781,99.72257113599906,4609485667.773987,-126777952.30056036,1097950200.4753337,422588836.71461815,-372588836.71461815,2029-08-01,False
49,5.8345491747527625,1.0244066272868841,0.9775688711382238,0.9814094384572942,1.021908001578557,27.115423196611772,4451046795.561511,953238592.4168302,1289683396.6564548,265972827.96811432,-215972827.96811432,2029-10-01,True
50,9.320309115303168,1.2146680315812752,1.0311293188153272,1.1337713559137406,1.0018805047626116,160.9188734948799,5277732597.22064,330250871.058916,1132259632.9821954,440228141.1542138,-390228141.1542138,2030-01-01,True
