simulation_id,site_id,site_name,ready_for_service,total_capex_usd,unlevered_npv_usd,unlevered_irr
1,S01,Atlas East,2028-12-01,1478424920.758068,-28354600.37037444,0.11192540884463553
1,S02,Atlas Central,2029-06-01,2151929606.881188,128213523.05227542,0.14879495546583432
1,S03,Atlas West,2029-12-01,1127983458.0598593,-6410010.298473835,0.11649869569844529
2,S01,Atlas East,2028-12-01,1584224253.151304,-311535489.028239,0.030303744086290996
2,S02,Atlas Central,2029-06-01,2305926412.920232,-290399461.47503567,0.0541769958307623
2,S03,Atlas West,2029-12-01,1208704430.182106,-208303501.59391582,0.00583276182208281
3,S01,Atlas East,2028-11-01,1599559758.7685845,-160123264.78834558,0.07773901484431911
3,S02,Atlas Central,2029-05-01,2328248093.318718,-59104270.20102,0.10774564714177681
3,S03,Atlas West,2029-11-01,1220404852.9864016,-89373635.5135423,0.0754480001423663
4,S01,Atlas East,2029-01-01,1530918286.961022,105023625.38782775,0.14883715348751103
4,S02,Atlas Central,2029-07-01,2228336617.68771,300704668.06037736,0.18583135288992603
4,S03,Atlas West,2030-01-01,1168033952.273965,66503238.15013552,0.15575215583198143
5,S01,Atlas East,2028-12-01,1416303553.7233067,-55564790.73993933,0.10335757286191471
5,S02,Atlas Central,2029-06-01,2061508505.9750357,72225408.33464932,0.13708212839918166
5,S03,Atlas West,2029-12-01,1080587155.8037083,-30472649.372279286,0.10247739916876686
6,S01,Atlas East,2028-12-01,1688447984.6633387,-289091025.1683388,0.04294770074552057
6,S02,Atlas Central,2029-06-01,2457629844.343304,-248629884.2463398,0.06773433742433399
6,S03,Atlas West,2029-12-01,1288223277.1875844,-190050892.8406273,0.02341932349310305
7,S01,Atlas East,2028-07-01,1487654760.0160007,-198113549.1064018,0.06923678180765624
7,S02,Atlas Central,2029-01-01,2165364150.6899567,-114102440.48963952,0.09742818985164314
7,S03,Atlas West,2029-07-01,1135025483.5677636,-106911714.85222936,0.07018005420888662
8,S01,Atlas East,2028-12-01,1448403932.7572808,45732627.55038643,0.13301449547357747
8,S02,Atlas Central,2029-06-01,2108232391.0133755,235817714.60638285,0.17298019046406954
8,S03,Atlas West,2029-12-01,1105078556.103703,46797736.29764986,0.14560154571106643
9,S01,Atlas East,2028-11-01,1397939762.4885457,-37954051.8732034,0.1088755034978901
9,S02,Atlas Central,2029-05-01,2034778987.6222162,97115509.22631907,0.1423785484350688
9,S03,Atlas West,2029-11-01,1066576263.2320015,-10055169.0475744,0.11441265470855155
10,S01,Atlas East,2028-12-01,1582107905.6058598,-224594069.40304458,0.05705704290688263
10,S02,Atlas Central,2029-06-01,2302845951.4929733,-155575327.52061582,0.08564464838400587
10,S03,Atlas West,2029-12-01,1207089735.3881745,-143579902.0246104,0.043196581962240854
11,S01,Atlas East,2028-11-01,1486482306.1883075,-31138255.91232705,0.11144302880500034
11,S02,Atlas Central,2029-05-01,2163657579.007426,129141674.95244455,0.14785646409015185
11,S03,Atlas West,2029-11-01,1134130944.7214494,2930788.9679601192,0.12152420431491184
12,S01,Atlas East,2028-10-01,1446336693.4309108,-318665449.0258081,0.02455318971571141
12,S02,Atlas Central,2029-04-01,2105223409.3272145,-301971389.41831946,0.049548333979410275
12,S03,Atlas West,2029-10-01,1103501329.0621023,-199616555.44839346,0.008912461940358662
13,S01,Atlas East,2029-01-01,1427891138.0266886,-239869440.67441607,0.04211907193389197
13,S02,Atlas Central,2029-07-01,2078374878.683291,-207549959.20541573,0.06661657023754586
