month,scenario,capex_usd,gpu_capex_usd,revenue_usd,opex_usd,ebitda_usd,operating_cash_flow_usd,equity_draw_usd,debt_draw_usd,debt_service_usd,interest_during_construction_usd,unlevered_free_cash_flow_usd,net_cash_flow_post_financing_usd,gpu_online,it_load_online_mw,facility_load_online_mw,power_mwh,cumulative_cash_change_usd,cash_balance_pre_support_usd,incremental_funding_required_usd,funding_raise_usd,cash_balance_usd,liquidity_headroom_usd
2027-01-01,downside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,150000000.0,100000000.0
2027-02-01,downside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,150000000.0,100000000.0
2027-03-01,downside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,150000000.0,100000000.0
2027-04-01,downside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,150000000.0,100000000.0
2027-05-01,downside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,150000000.0,100000000.0
2027-06-01,downside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,150000000.0,100000000.0
2027-07-01,downside,3395188.8560176753,0.0,0.0,0.0,0.0,0.0,3395188.8560176753,0.0,0.0,0.0,-3395188.8560176753,0.0,0,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,150000000.0,100000000.0
2027-08-01,downside,22942568.64222357,0.0,0.0,0.0,0.0,0.0,22942568.64222357,0.0,0.0,0.0,-22942568.64222357,0.0,0,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,150000000.0,100000000.0
2027-09-01,downside,22015211.085185155,0.0,0.0,0.0,0.0,0.0,22015211.085185155,0.0,0.0,0.0,-22015211.085185155,0.0,0,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,150000000.0,100000000.0
2027-10-01,downside,18934221.219538964,0.0,0.0,0.0,0.0,0.0,18934221.219538964,0.0,0.0,0.0,-18934221.219538964,0.0,0,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,150000000.0,100000000.0
