month,scenario,capex_usd,gpu_capex_usd,revenue_usd,opex_usd,ebitda_usd,operating_cash_flow_usd,equity_draw_usd,debt_draw_usd,debt_service_usd,interest_during_construction_usd,unlevered_free_cash_flow_usd,net_cash_flow_post_financing_usd,gpu_online,it_load_online_mw,facility_load_online_mw,power_mwh,cumulative_cash_change_usd,cash_balance_pre_support_usd,incremental_funding_required_usd,funding_raise_usd,cash_balance_usd,liquidity_headroom_usd
2027-01-01,base,2952338.135667544,0.0,0.0,0.0,0.0,0.0,2952338.135667544,0.0,0.0,0.0,-2952338.135667544,0.0,0,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,150000000.0,100000000.0
2027-02-01,base,19950059.688890066,0.0,0.0,0.0,0.0,0.0,19950059.688890066,0.0,0.0,0.0,-19950059.688890066,0.0,0,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,150000000.0,100000000.0
2027-03-01,base,19143661.813204482,0.0,0.0,0.0,0.0,0.0,19143661.813204482,0.0,0.0,0.0,-19143661.813204482,0.0,0,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,150000000.0,100000000.0
2027-04-01,base,16464540.19090345,0.0,0.0,0.0,0.0,0.0,16464540.19090345,0.0,0.0,0.0,-16464540.19090345,0.0,0,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,150000000.0,100000000.0
2027-05-01,base,26353855.732550878,0.0,0.0,0.0,0.0,0.0,26353855.732550878,0.0,0.0,0.0,-26353855.732550878,0.0,0,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,150000000.0,100000000.0
2027-06-01,base,46834538.814907864,0.0,0.0,0.0,0.0,0.0,46834538.814907864,0.0,0.0,0.0,-46834538.814907864,0.0,0,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,150000000.0,100000000.0
2027-07-01,base,67247112.6224446,0.0,0.0,0.0,0.0,0.0,67247112.6224446,0.0,0.0,0.0,-67247112.6224446,0.0,0,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,150000000.0,100000000.0
2027-08-01,base,101882454.42138974,0.0,0.0,0.0,0.0,0.0,101882454.42138974,0.0,0.0,0.0,-101882454.42138974,0.0,0,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,150000000.0,100000000.0
2027-09-01,base,140248355.16879833,0.0,0.0,0.0,0.0,0.0,91003432.14306171,49244923.02573659,0.0,307780.76891085366,-140248355.16879833,-7.450580596923828e-09,0,0.0,0.0,0.0,-7.450580596923828e-09,150000000.0,0.0,0.0,150000000.0,100000000.0
2027-10-01,base,195938501.29957289,0.0,0.0,0.0,0.0,0.0,100071487.33680004,95867013.96277283,0.0,908873.2359838766,-195938501.29957289,-1.4901161193847656e-08,0,0.0,0.0,0.0,-2.2351741790771484e-08,149999999.99999997,0.0,0.0,149999999.99999997,99999999.99999997
