month,scenario,capex_usd,gpu_capex_usd,revenue_usd,opex_usd,ebitda_usd,operating_cash_flow_usd,equity_draw_usd,debt_draw_usd,debt_service_usd,interest_during_construction_usd,unlevered_free_cash_flow_usd,net_cash_flow_post_financing_usd,gpu_online,it_load_online_mw,facility_load_online_mw,power_mwh,cumulative_cash_change_usd,cash_balance_pre_support_usd,incremental_funding_required_usd,funding_raise_usd,cash_balance_usd,liquidity_headroom_usd
2027-01-01,severe_downside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,150000000.0,100000000.0
2027-02-01,severe_downside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,150000000.0,100000000.0
2027-03-01,severe_downside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,150000000.0,100000000.0
2027-04-01,severe_downside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,150000000.0,100000000.0
2027-05-01,severe_downside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,150000000.0,100000000.0
2027-06-01,severe_downside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,150000000.0,100000000.0
2027-07-01,severe_downside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,150000000.0,100000000.0
2027-08-01,severe_downside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,150000000.0,100000000.0
2027-09-01,severe_downside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,150000000.0,100000000.0
2027-10-01,severe_downside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,150000000.0,100000000.0
2027-11-01,severe_downside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,150000000.0,100000000.0
2027-12-01,severe_downside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,150000000.0,100000000.0
2028-01-01,severe_downside,3778992.8136544563,0.0,0.0,0.0,0.0,0.0,3778992.8136544563,0.0,0.0,0.0,-3778992.8136544563,0.0,0,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,150000000.0,100000000.0
2028-02-01,severe_downside,25536076.401779283,0.0,0.0,0.0,0.0,0.0,25536076.401779283,0.0,0.0,0.0,-25536076.401779283,0.0,0,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,150000000.0,100000000.0
2028-03-01,severe_downside,24503887.12090174,0.0,0.0,0.0,0.0,0.0,24503887.12090174,0.0,0.0,0.0,-24503887.12090174,0.0,0,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,150000000.0,100000000.0
2028-04-01,severe_downside,21074611.444356415,0.0,0.0,0.0,0.0,0.0,21074611.444356415,0.0,0.0,0.0,-21074611.444356415,0.0,0,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,150000000.0,100000000.0
2028-05-01,severe_downside,33732935.337665126,0.0,0.0,0.0,0.0,0.0,33732935.337665126,0.0,0.0,0.0,-33732935.337665126,0.0,0,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,150000000.0,100000000.0
2028-06-01,severe_downside,59948209.68308207,0.0,0.0,0.0,0.0,0.0,59948209.68308207,0.0,0.0,0.0,-59948209.68308207,0.0,0,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,150000000.0,100000000.0
2028-07-01,severe_downside,86076304.15672909,0.0,0.0,0.0,0.0,0.0,86076304.15672909,0.0,0.0,0.0,-86076304.15672909,0.0,0,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,150000000.0,100000000.0
2028-08-01,severe_downside,130409541.65937889,0.0,0.0,0.0,0.0,0.0,130409541.65937889,0.0,0.0,0.0,-130409541.65937889,0.0,0,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,150000000.0,100000000.0
2028-09-01,severe_downside,179517894.61606187,0.0,0.0,0.0,0.0,0.0,116484393.143119,63033501.47294286,0.0,551543.1378882499,-179517894.61606187,0.0,0,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,150000000.0,100000000.0
2028-10-01,severe_downside,250801281.6634533,0.0,0.0,0.0,0.0,0.0,128091503.79110408,122709777.87234923,0.0,1630079.696727828,-250801281.6634533,0.0,0,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,150000000.0,100000000.0
2028-11-01,severe_downside,280567083.3251449,0.0,0.0,0.0,0.0,0.0,157010210.39841348,123556872.92673144,0.0,2725465.5321830963,-280567083.3251449,0.0,0,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,150000000.0,100000000.0
2028-12-01,severe_downside,234578383.39341816,0.0,0.0,0.0,0.0,0.0,162760402.67345095,71817980.71996722,0.0,3377720.6868894114,-234578383.39341816,0.0,0,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,150000000.0,100000000.0
2029-01-01,severe_downside,262921396.31763512,30941007.1942446,0.0,0.0,0.0,0.0,198243280.0908659,64678116.2267692,0.0,3973209.2598839244,-262921396.31763512,0.0,0,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,150000000.0,100000000.0
2029-02-01,severe_downside,436897738.13867193,184172661.87050357,0.0,0.0,0.0,0.0,203917930.3828444,232979807.75582755,0.0,6068775.122655334,-436897738.13867193,0.0,0,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,150000000.0,100000000.0
2029-03-01,severe_downside,613215722.6994221,368345323.74100715,0.0,0.0,0.0,0.0,243615813.80225945,369599908.8971627,0.0,9393224.329166837,-613215722.6994221,-2.9802322387695312e-08,0,0.0,0.0,0.0,-2.9802322387695312e-08,149999999.99999997,0.0,0.0,149999999.99999997,99999999.99999997
2029-04-01,severe_downside,286243289.63294715,30941007.1942446,764208.9,4356620.835,-3592411.935,-3592411.935,118528986.9545306,167714302.67841655,17643610.340354778,3506356.3132618335,-289835701.56794715,-21236022.27535478,1333,6.665,8.33125,1499.6250000000002,-21236022.27535481,128763977.7246452,0.0,0.0,128763977.7246452,78763977.7246452
2029-05-01,severe_downside,250247114.72009102,0.0,1687323.4361013332,4545808.5943218665,-2858485.1582205333,-2858485.1582205333,117003753.11223021,133243361.6078608,17554629.59656336,4737103.774551936,-253105599.87831154,-20413114.754783895,2666,13.33,16.6625,3311.074246666667,-41649137.0301387,108350862.9698613,0.0,0.0,108350862.9698613,58350862.9698613
2029-06-01,severe_downside,169207391.01692346,0.0,2606705.9199999995,4734231.488,-2127525.5680000004,-2127525.5680000004,101260327.55303305,67947063.46389039,17465648.85277195,5391261.279697918,-171334916.58492345,-19593174.420771964,4000,20.0,25.0,5115.2,-61242311.450910665,88757688.54908934,0.0,0.0,88757688.54908934,38757688.54908934
2029-07-01,severe_downside,234863790.71256566,46411510.7913669,3807194.2701520002,4980265.6388828,-1173071.3687307998,-1173071.3687307998,136860545.18341935,98003245.52914634,17376668.108980533,6321811.840977516,-236036862.0812965,-18549739.47771133,5333,26.665,33.33125,7470.94637,-79792050.92862199,70207949.07137801,0.0,0.0,70207949.07137801,20207949.071378008
