month,scenario,capex_usd,gpu_capex_usd,revenue_usd,opex_usd,ebitda_usd,operating_cash_flow_usd,equity_draw_usd,debt_draw_usd,debt_service_usd,interest_during_construction_usd,unlevered_free_cash_flow_usd,net_cash_flow_post_financing_usd,gpu_online,it_load_online_mw,facility_load_online_mw,power_mwh,cumulative_cash_change_usd,cash_balance_pre_support_usd,incremental_funding_required_usd,funding_raise_usd,cash_balance_usd,liquidity_headroom_usd
2027-01-01,upside,2804721.228884167,0.0,0.0,0.0,0.0,0.0,2804721.228884167,0.0,0.0,0.0,-2804721.228884167,0.0,0,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,150000000.0,100000000.0
2027-02-01,upside,18952556.704445563,0.0,0.0,0.0,0.0,0.0,18952556.704445563,0.0,0.0,0.0,-18952556.704445563,0.0,0,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,150000000.0,100000000.0
2027-03-01,upside,18186478.72254426,0.0,0.0,0.0,0.0,0.0,18186478.72254426,0.0,0.0,0.0,-18186478.72254426,0.0,0,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,150000000.0,100000000.0
2027-04-01,upside,15641313.181358278,0.0,0.0,0.0,0.0,0.0,15641313.181358278,0.0,0.0,0.0,-15641313.181358278,0.0,0,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,150000000.0,100000000.0
2027-05-01,upside,25036162.945923336,0.0,0.0,0.0,0.0,0.0,25036162.945923336,0.0,0.0,0.0,-25036162.945923336,0.0,0,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,150000000.0,100000000.0
2027-06-01,upside,44492811.87416247,0.0,0.0,0.0,0.0,0.0,44492811.87416247,0.0,0.0,0.0,-44492811.87416247,0.0,0,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,150000000.0,100000000.0
2027-07-01,upside,63884756.99132237,0.0,0.0,0.0,0.0,0.0,63884756.99132237,0.0,0.0,0.0,-63884756.99132237,0.0,0,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,150000000.0,100000000.0
2027-08-01,upside,96788331.70032026,0.0,0.0,0.0,0.0,0.0,96788331.70032026,0.0,0.0,0.0,-96788331.70032026,0.0,0,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,150000000.0,100000000.0
2027-09-01,upside,133235937.41035838,0.0,0.0,0.0,0.0,0.0,86453260.53590862,46782676.87444976,0.0,272898.94843429024,-133235937.41035838,0.0,0,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,150000000.0,100000000.0
2027-10-01,upside,186141576.23459423,0.0,0.0,0.0,0.0,0.0,95067912.96996006,91073663.26463418,0.0,805753.8946771895,-186141576.23459423,1.4901161193847656e-08,0,0.0,0.0,0.0,1.4901161193847656e-08,150000000.0,0.0,0.0,150000000.0,100000000.0
2027-11-01,upside,208233382.155381,0.0,0.0,0.0,0.0,0.0,116531015.53007248,91702366.6253085,0.0,1345384.5977104392,-208233382.155381,-1.4901161193847656e-08,0,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,150000000.0,100000000.0
2027-12-01,upside,174101143.92480254,0.0,0.0,0.0,0.0,0.0,120798736.35920188,53302407.56560068,0.0,1664163.385329754,-174101143.92480254,0.0,0,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,150000000.0,100000000.0
2028-01-01,upside,195136973.82949483,22964028.776978415,0.0,0.0,0.0,0.0,147133684.44243956,48003289.38705527,0.0,1953890.193168667,-195136973.82949483,0.0,0,0.0,0.0,0.0,0.0,150000000.0,0.0,0.0,150000000.0,100000000.0
2028-02-01,upside,324260040.0247956,136690647.4820144,0.0,0.0,0.0,0.0,151345338.95601732,172914701.0687783,0.0,2990453.5502876313,-324260040.0247956,7.450580596923828e-09,0,0.0,0.0,0.0,7.450580596923828e-09,150000000.0,0.0,0.0,150000000.0,100000000.0
2028-03-01,upside,455121044.1909774,273381294.9640288,0.0,0.0,0.0,0.0,180808611.8063645,274312432.3846129,0.0,4635724.986255876,-455121044.1909774,2.9802322387695312e-08,0,0.0,0.0,0.0,3.725290298461914e-08,150000000.00000003,0.0,0.0,150000000.00000003,100000000.00000003
2028-04-01,upside,212446191.52445292,22964028.776978415,864983.7,4333376.6475,-3468392.9475,-3468392.9475,87970732.50531566,124475459.01913726,11135836.096111057,1754695.9124037235,-215914584.47195294,-14604229.043611057,1333,6.665,8.33125,1499.6250000000002,-14604229.04361102,135395770.95638898,0.0,0.0,135395770.95638898,85395770.95638898
2028-05-01,upside,185730280.45631754,0.0,2040126.2071306668,4514578.406487866,-2474452.1993571995,-2474452.1993571995,86838723.01298335,98891557.44333419,11092239.42235671,2366960.620317796,-188204732.65567476,-13566691.62171391,2666,13.33,16.6625,3536.973313333334,-28170920.66532493,121829079.33467507,0.0,0.0,121829079.33467507,71829079.33467507
2028-06-01,upside,125583610.52037287,0.0,3328828.1600000006,4713290.528,-1384462.3679999993,-1384462.3679999993,75154149.35576673,50429461.16460613,11048642.74860236,2688138.85284275,-126968072.88837287,-12433105.116602352,4000,20.0,25.0,5771.200000000001,-40604025.78192728,109395974.21807271,0.0,0.0,109395974.21807271,59395974.21807271
2028-07-01,upside,174312969.66948235,34446043.16546762,5091179.978696,4985037.3566318,106142.62206420023,106142.62206420023,101576185.87831904,72736783.79116331,11005046.07484801,3146973.79892712,-174206827.04741815,-10898903.452783808,5333,26.665,33.33125,8826.594969999998,-51502929.23471109,98497070.76528892,0.0,0.0,98497070.76528892,48497070.76528892
2028-08-01,upside,342587566.27415633,205035971.22302157,6995064.085856,5278607.8359848,1716456.2498712,1716456.2498712,140512596.16370726,202074970.1104491,10961449.401093662,4380744.061369186,-340871110.02428514,-9244993.151222458,6666,33.33,41.662499999999994,12127.364919999998,-60747922.38593355,89252077.61406645,0.0,0.0,89252077.61406645,39252077.61406645
2028-09-01,upside,493135931.8684716,410071942.44604313,8857340.8,5565762.64,3291578.160000001,3291578.160000001,180903975.0962079,312231956.7722637,10917852.727339312,6283880.191316942,-489844353.70847154,-7626274.567339311,8000,40.0,50.0,15356.0,-68374196.95327286,81625803.04672714,0.0,0.0,81625803.04672714,31625803.046727136
2028-10-01,upside,117630051.32154098,34446043.16546762,12421361.803391999,11994209.822633602,427151.9807583988,-117415.61830138043,49488918.77814668,68141132.5433943,28722477.522604283,677516.9906857319,-117747466.93984236,-28839893.14090566,10833,54.165000000000006,67.48125000000002,21541.969440000004,-97214090.09417853,52785909.90582147,0.0,0.0,52785909.90582147,2785909.9058214724
2028-11-01,upside,66890414.32427323,0.0,15692347.678240001,12472352.883035999,3219994.7952040015,2198774.8718382344,30100686.445922945,36789727.87835028,28607023.35010526,886709.107871183,-64691639.452434994,-26408248.478267033,13666,68.33,84.96249999999999,27221.604199999998,-123622338.57244556,26377661.427554443,23622338.572445557,23622338.572445557,50000000.0,0.0
2028-12-01,upside,34183207.9270281,0.0,20536206.0848,13183172.752806399,7353033.3319936,5607438.724126246,15382443.56716264,18800764.359865457,28491569.177606236,996630.8347327125,-28575769.20290185,-22884130.45347999,16500,82.5,102.45,35631.40744,-146506469.02592555,3493530.974074453,46506469.02592555,22884130.45347999,50000000.0,0.0
