outcome,risk_driver,pearson_correlation
incremental_funding_required_usd,capex_multiplier,0.7043968639824184
incremental_funding_required_usd,utilization_multiplier,-0.5613875894878095
incremental_funding_required_usd,price_multiplier,-0.3215947023423764
incremental_funding_required_usd,debt_rate_shift_bps,0.2890226511598033
incremental_funding_required_usd,power_cost_multiplier,0.09769129318883554
incremental_funding_required_usd,schedule_delay_months,-0.08403283813298809
portfolio_unlevered_npv_usd,utilization_multiplier,0.7531857687758244
portfolio_unlevered_npv_usd,capex_multiplier,-0.5599739866033709
portfolio_unlevered_npv_usd,price_multiplier,0.37307348704636045
portfolio_unlevered_npv_usd,power_cost_multiplier,-0.09828018200356363
portfolio_unlevered_npv_usd,debt_rate_shift_bps,0.047974422718553116
portfolio_unlevered_npv_usd,schedule_delay_months,0.013087932089271798
total_capex_usd,capex_multiplier,0.9999999999999993
total_capex_usd,price_multiplier,-0.06956925454091718
total_capex_usd,power_cost_multiplier,0.06582776466751974
total_capex_usd,debt_rate_shift_bps,0.041956866917717515
total_capex_usd,utilization_multiplier,-0.04156018128498999
total_capex_usd,schedule_delay_months,0.009855949536703055
