site_id,month,site_name,region,it_load_mw,pue,total_facility_mw,target_power_ready,target_rfs,initial_gpu_count,target_gpu_count,price_per_gpu_hour,power_cost_per_mwh,fixed_opex_monthly,variable_opex_per_gpu_hour,utilization_at_rfs,utilization_mature,months_to_mature,gpu_ramp_months,equity_pct,debt_pct,debt_rate_annual,debt_tenor_years,minimum_equity_first_pct,commissioning,construction_start,design_complete,power_ready,ready_for_service,site_control,scenario,rfs_month,power_gate_open,commissioning_gate_open,rfs_gate_open,capex_usd,gpu_capex_usd,months_since_rfs,utilization,gpu_online,it_load_online_mw,facility_load_online_mw,gpu_hours_available,gpu_hours_sold,price_per_gpu_hour_scenario,revenue_usd,power_mwh,power_cost_usd,fixed_opex_usd,variable_opex_usd,opex_usd,ebitda_usd,equity_draw_usd,debt_draw_usd,interest_during_construction_usd,cash_interest_usd,principal_repayment_usd,ending_debt_balance_usd,debt_service_usd,taxable_income_proxy_usd,cash_tax_usd,operating_cash_flow_usd,unlevered_free_cash_flow_usd,equity_cash_flow_usd,net_cash_flow_post_financing_usd,grant_funding_usd,customer_prepayment_usd,equipment_finance_usd,sponsor_equity_draw_usd,maintenance_capex_usd,cads_usd,dscr,rolling_12m_cads_usd,rolling_12m_debt_service_usd,rolling_12m_dscr,adjusted_equity_cash_flow_usd,capital_stack
S01,2027-01-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,1.0,0.0,0.0,1.0,1.0,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,False,False,False,2952338.135667544,0.0,-15,0.0,0,0.0,0.0,0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2952338.135667544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2952338.135667544,-2952338.135667544,0.0,0.0,0.0,0.0,2952338.135667544,0.0,0.0,,,,,-2952338.135667544,all_equity
S01,2027-02-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,1.0,0.0,0.0,1.0,1.0,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,False,False,False,19950059.688890066,0.0,-14,0.0,0,0.0,0.0,0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19950059.688890066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19950059.688890066,-19950059.688890066,0.0,0.0,0.0,0.0,19950059.688890066,0.0,0.0,,,,,-19950059.688890066,all_equity
S01,2027-03-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,1.0,0.0,0.0,1.0,1.0,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,False,False,False,19143661.813204482,0.0,-13,0.0,0,0.0,0.0,0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19143661.813204482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19143661.813204482,-19143661.813204482,0.0,0.0,0.0,0.0,19143661.813204482,0.0,0.0,,,,,-19143661.813204482,all_equity
S01,2027-04-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,1.0,0.0,0.0,1.0,1.0,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,False,False,False,13148149.546374992,0.0,-12,0.0,0,0.0,0.0,0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13148149.546374992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13148149.546374992,-13148149.546374992,0.0,0.0,0.0,0.0,13148149.546374992,0.0,0.0,,,,,-13148149.546374992,all_equity
S01,2027-05-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,1.0,0.0,0.0,1.0,1.0,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,False,False,False,8896179.714969855,0.0,-11,0.0,0,0.0,0.0,0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8896179.714969855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8896179.714969855,-8896179.714969855,0.0,0.0,0.0,0.0,8896179.714969855,0.0,0.0,,,,,-8896179.714969855,all_equity
S01,2027-06-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,1.0,0.0,0.0,1.0,1.0,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,False,False,False,23163564.590840273,0.0,-10,0.0,0,0.0,0.0,0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23163564.590840273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23163564.590840273,-23163564.590840273,0.0,0.0,0.0,0.0,23163564.590840273,0.0,0.0,,,,,-23163564.590840273,all_equity
S01,2027-07-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,1.0,0.0,0.0,1.0,1.0,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,False,False,False,48607218.002984904,0.0,-9,0.0,0,0.0,0.0,0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48607218.002984904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48607218.002984904,-48607218.002984904,0.0,0.0,0.0,0.0,48607218.002984904,0.0,0.0,,,,,-48607218.002984904,all_equity
S01,2027-08-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,1.0,0.0,0.0,1.0,1.0,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,False,False,False,88273639.40653794,0.0,-8,0.0,0,0.0,0.0,0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88273639.40653794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-88273639.40653794,-88273639.40653794,0.0,0.0,0.0,0.0,88273639.40653794,0.0,0.0,,,,,-88273639.40653794,all_equity
S01,2027-09-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,1.0,0.0,0.0,1.0,1.0,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,False,False,False,127940060.81009096,0.0,-7,0.0,0,0.0,0.0,0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127940060.81009096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-127940060.81009096,-127940060.81009096,0.0,0.0,0.0,0.0,127940060.81009096,0.0,0.0,,,,,-127940060.81009096,all_equity
S01,2027-10-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,1.0,0.0,0.0,1.0,1.0,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,False,False,False,159778356.60462138,0.0,-6,0.0,0,0.0,0.0,0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159778356.60462138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-159778356.60462138,-159778356.60462138,0.0,0.0,0.0,0.0,159778356.60462138,0.0,0.0,,,,,-159778356.60462138,all_equity
