site_id,month,site_name,region,it_load_mw,pue,total_facility_mw,target_power_ready,target_rfs,initial_gpu_count,target_gpu_count,price_per_gpu_hour,power_cost_per_mwh,fixed_opex_monthly,variable_opex_per_gpu_hour,utilization_at_rfs,utilization_mature,months_to_mature,gpu_ramp_months,equity_pct,debt_pct,debt_rate_annual,debt_tenor_years,minimum_equity_first_pct,commissioning,construction_start,design_complete,power_ready,ready_for_service,site_control,scenario,rfs_month,power_gate_open,commissioning_gate_open,rfs_gate_open,capex_usd,gpu_capex_usd,months_since_rfs,utilization,gpu_online,it_load_online_mw,facility_load_online_mw,gpu_hours_available,gpu_hours_sold,price_per_gpu_hour_scenario,revenue_usd,power_mwh,power_cost_usd,fixed_opex_usd,variable_opex_usd,opex_usd,ebitda_usd,equity_draw_usd,debt_draw_usd,interest_during_construction_usd,cash_interest_usd,principal_repayment_usd,ending_debt_balance_usd,debt_service_usd,taxable_income_proxy_usd,cash_tax_usd,operating_cash_flow_usd,unlevered_free_cash_flow_usd,equity_cash_flow_usd,net_cash_flow_post_financing_usd,grant_funding_usd,customer_prepayment_usd,equipment_finance_usd,sponsor_equity_draw_usd,maintenance_capex_usd,cads_usd,dscr,rolling_12m_cads_usd,rolling_12m_debt_service_usd,rolling_12m_dscr,adjusted_equity_cash_flow_usd,capital_stack
S01,2027-01-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,0.33999999999999997,0.66,0.06,10.0,0.1,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,False,False,False,2952338.135667544,0.0,-15,0.0,0,0.0,0.0,0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2952338.135667544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2952338.135667544,-2952338.135667544,0.0,295233.8135667544,0.0,354280.5762801053,2657104.3221007893,0.0,0.0,,,,,-2657104.3221007893,government_supported
S01,2027-02-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,0.33999999999999997,0.66,0.06,10.0,0.1,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,False,False,False,19950059.688890066,0.0,-14,0.0,0,0.0,0.0,0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19950059.688890066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19950059.688890066,-19950059.688890066,0.0,1995005.9688890066,0.0,2394007.162666808,17955053.72000106,0.0,0.0,,,,,-17955053.72000106,government_supported
S01,2027-03-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,0.33999999999999997,0.66,0.06,10.0,0.1,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,False,False,False,19143661.813204482,0.0,-13,0.0,0,0.0,0.0,0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19143661.813204482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19143661.813204482,-19143661.813204482,0.0,1914366.1813204484,0.0,2297239.417584538,17229295.631884035,0.0,0.0,,,,,-17229295.631884035,government_supported
S01,2027-04-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,0.33999999999999997,0.66,0.06,10.0,0.1,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,False,False,False,13148149.546374992,0.0,-12,0.0,0,0.0,0.0,0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13148149.546374992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13148149.546374992,-13148149.546374992,0.0,1314814.9546374993,0.0,1577777.945564999,11833334.591737492,0.0,0.0,,,,,-11833334.591737492,government_supported
S01,2027-05-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,0.33999999999999997,0.66,0.06,10.0,0.1,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,False,False,False,8896179.714969855,0.0,-11,0.0,0,0.0,0.0,0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8896179.714969855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8896179.714969855,-8896179.714969855,0.0,889617.9714969855,0.0,1067541.5657963825,8006561.7434728695,0.0,0.0,,,,,-8006561.7434728695,government_supported
S01,2027-06-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,0.33999999999999997,0.66,0.06,10.0,0.1,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,False,False,False,23163564.590840273,0.0,-10,0.0,0,0.0,0.0,0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23163564.590840273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23163564.590840273,-23163564.590840273,0.0,2316356.4590840274,0.0,2779627.7509008325,20847208.131756246,0.0,0.0,,,,,-20847208.131756246,government_supported
S01,2027-07-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,0.33999999999999997,0.66,0.06,10.0,0.1,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,False,False,False,48607218.002984904,0.0,-9,0.0,0,0.0,0.0,0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48038844.817649715,568373.1853351884,2841.865926675942,0.0,0.0,571215.0512618644,0.0,0.0,0.0,0.0,-48607218.002984904,-48038844.817649715,-6.984919309616089e-10,4860721.800298491,0.0,5832866.160358189,43178123.017351225,0.0,0.0,,,,,-43178123.017351225,government_supported
S01,2027-08-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,0.33999999999999997,0.66,0.06,10.0,0.1,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,False,False,False,88273639.40653794,0.0,-8,0.0,0,0.0,0.0,0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30013037.398222893,58260602.00831504,294159.08529788454,0.0,0.0,59125976.14487479,0.0,0.0,0.0,0.0,-88273639.40653794,-30013037.398222893,0.0,8827363.940653794,0.0,10592836.728784552,21185673.4575691,0.0,0.0,,,,,-21185673.4575691,government_supported
S01,2027-09-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,0.33999999999999997,0.66,0.06,10.0,0.1,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,False,False,False,127940060.81009096,0.0,-7,0.0,0,0.0,0.0,0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43499620.67543092,84440440.13466004,717832.081397674,0.0,0.0,144284248.3609325,0.0,0.0,0.0,0.0,-127940060.81009096,-43499620.67543092,0.0,12794006.081009097,0.0,15352807.297210915,30705614.594421826,0.0,0.0,,,,,-30705614.594421826,government_supported
S01,2027-10-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,0.33999999999999997,0.66,0.06,10.0,0.1,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,False,False,False,159778356.60462138,0.0,-6,0.0,0,0.0,0.0,0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54324641.24557128,105453715.35905011,1248689.818599913,0.0,0.0,250986653.53858253,0.0,0.0,0.0,0.0,-159778356.60462138,-54324641.24557127,1.4901161193847656e-08,15977835.66046214,0.0,19173402.792554565,38346805.58510914,0.0,0.0,,,,,-38346805.58510913,government_supported
