site_id,month,site_name,region,it_load_mw,pue,total_facility_mw,target_power_ready,target_rfs,initial_gpu_count,target_gpu_count,price_per_gpu_hour,power_cost_per_mwh,fixed_opex_monthly,variable_opex_per_gpu_hour,utilization_at_rfs,utilization_mature,months_to_mature,gpu_ramp_months,equity_pct,debt_pct,debt_rate_annual,debt_tenor_years,minimum_equity_first_pct,commissioning,construction_start,design_complete,power_ready,ready_for_service,site_control,scenario,rfs_month,power_gate_open,commissioning_gate_open,rfs_gate_open,capex_usd,gpu_capex_usd,months_since_rfs,utilization,gpu_online,it_load_online_mw,facility_load_online_mw,gpu_hours_available,gpu_hours_sold,price_per_gpu_hour_scenario,revenue_usd,power_mwh,power_cost_usd,fixed_opex_usd,variable_opex_usd,opex_usd,ebitda_usd,equity_draw_usd,debt_draw_usd,interest_during_construction_usd,cash_interest_usd,principal_repayment_usd,ending_debt_balance_usd,debt_service_usd,taxable_income_proxy_usd,cash_tax_usd,operating_cash_flow_usd,unlevered_free_cash_flow_usd,equity_cash_flow_usd,net_cash_flow_post_financing_usd,grant_funding_usd,customer_prepayment_usd,equipment_finance_usd,sponsor_equity_draw_usd,maintenance_capex_usd,cads_usd,dscr,rolling_12m_cads_usd,rolling_12m_debt_service_usd,rolling_12m_dscr,adjusted_equity_cash_flow_usd,capital_stack
S01,2027-01-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,0.42199999999999993,0.5780000000000001,0.074,8.0,0.15,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,False,False,False,2952338.135667544,0.0,-15,0.0,0,0.0,0.0,0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2952338.135667544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2952338.135667544,-2952338.135667544,0.0,0.0,354280.5762801053,147616.9067833772,2598057.5593874385,0.0,0.0,,,,,-2598057.5593874385,strategic_customer
S01,2027-02-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,0.42199999999999993,0.5780000000000001,0.074,8.0,0.15,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,False,False,False,19950059.688890066,0.0,-14,0.0,0,0.0,0.0,0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19950059.688890066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19950059.688890066,-19950059.688890066,0.0,0.0,2394007.162666808,997502.9844445033,17556052.526223257,0.0,0.0,,,,,-17556052.526223257,strategic_customer
S01,2027-03-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,0.42199999999999993,0.5780000000000001,0.074,8.0,0.15,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,False,False,False,19143661.813204482,0.0,-13,0.0,0,0.0,0.0,0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19143661.813204482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19143661.813204482,-19143661.813204482,0.0,0.0,2297239.417584538,957183.0906602242,16846422.395619944,0.0,0.0,,,,,-16846422.395619944,strategic_customer
S01,2027-04-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,0.42199999999999993,0.5780000000000001,0.074,8.0,0.15,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,False,False,False,13148149.546374992,0.0,-12,0.0,0,0.0,0.0,0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13148149.546374992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13148149.546374992,-13148149.546374992,0.0,0.0,1577777.945564999,657407.4773187496,11570371.600809993,0.0,0.0,,,,,-11570371.600809993,strategic_customer
S01,2027-05-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,0.42199999999999993,0.5780000000000001,0.074,8.0,0.15,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,False,False,False,8896179.714969855,0.0,-11,0.0,0,0.0,0.0,0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8896179.714969855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8896179.714969855,-8896179.714969855,0.0,0.0,1067541.5657963825,444808.98574849276,7828638.149173472,0.0,0.0,,,,,-7828638.149173472,strategic_customer
S01,2027-06-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,0.42199999999999993,0.5780000000000001,0.074,8.0,0.15,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,False,False,False,23163564.590840273,0.0,-10,0.0,0,0.0,0.0,0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23163564.590840273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23163564.590840273,-23163564.590840273,0.0,0.0,2779627.7509008325,1158178.2295420137,20383936.83993944,0.0,0.0,,,,,-20383936.83993944,strategic_customer
S01,2027-07-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,0.42199999999999993,0.5780000000000001,0.074,8.0,0.15,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,False,False,False,48607218.002984904,0.0,-9,0.0,0,0.0,0.0,0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48607218.002984904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48607218.002984904,-48607218.002984904,0.0,0.0,5832866.160358189,2430360.9001492453,42774351.84262671,0.0,0.0,,,,,-42774351.84262671,strategic_customer
S01,2027-08-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,0.42199999999999993,0.5780000000000001,0.074,8.0,0.15,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,False,False,False,88273639.40653794,0.0,-8,0.0,0,0.0,0.0,0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75768718.70664427,12504920.69989367,77113.6776493443,0.0,0.0,12582034.377543014,0.0,0.0,0.0,0.0,-88273639.40653794,-75768718.70664427,1.862645149230957e-09,0.0,10592836.728784552,4413681.970326897,65175881.97785971,0.0,0.0,,,,,-65175881.97785971,strategic_customer
S01,2027-09-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,0.42199999999999993,0.5780000000000001,0.074,8.0,0.15,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,False,False,False,127940060.81009096,0.0,-7,0.0,0,0.0,0.0,0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53990705.66185837,73949355.14823258,533610.2354089495,0.0,0.0,87064999.76118454,0.0,0.0,0.0,0.0,-127940060.81009096,-53990705.66185838,0.0,0.0,15352807.297210915,6397003.040504549,38637898.364647456,0.0,0.0,,,,,-38637898.36464746,strategic_customer
S01,2027-10-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,0.42199999999999993,0.5780000000000001,0.074,8.0,0.15,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,False,False,False,159778356.60462138,0.0,-6,0.0,0,0.0,0.0,0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67426466.4871502,92351890.11747117,1106404.1542517103,0.0,0.0,180523294.03290746,0.0,0.0,0.0,0.0,-159778356.60462138,-67426466.4871502,0.0,0.0,19173402.792554565,7988917.83023107,48253063.69459564,0.0,0.0,,,,,-48253063.69459564,strategic_customer
S01,2027-11-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,0.42199999999999993,0.5780000000000001,0.074,8.0,0.15,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,False,False,False,160881344.95668158,0.0,-5,0.0,0,0.0,0.0,0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67891927.57171962,92989417.38496196,1686661.720410195,0.0,0.0,275199373.1382796,0.0,0.0,0.0,0.0,-160881344.95668158,-67891927.57171962,0.0,0.0,19305761.394801788,8044067.247834079,48586166.17691783,0.0,0.0,,,,,-48586166.17691783,strategic_customer
S01,2027-12-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,0.42199999999999993,0.5780000000000001,0.074,8.0,0.15,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,False,False,False,93512995.72912401,0.0,-4,0.0,0,0.0,0.0,0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39462484.19769032,54050511.53143369,2030374.2887965655,0.0,0.0,331280258.95850986,0.0,0.0,0.0,0.0,-93512995.72912401,-39462484.19769032,0.0,0.0,11221559.48749488,4675649.7864562,28240924.710195445,0.0,0.0,,0.0,0.0,,-28240924.710195445,strategic_customer
S01,2028-01-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,0.42199999999999993,0.5780000000000001,0.074,8.0,0.15,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,True,False,False,84216297.1702724,24172661.870503593,-3,0.0,0,0.0,0.0,0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35539277.40585495,48677019.76441745,2343069.8854580517,0.0,0.0,382300348.6083854,0.0,0.0,0.0,0.0,-84216297.1702724,-35539277.40585495,0.0,0.0,10105955.660432687,4210814.85851362,25433321.74542226,0.0,0.0,,0.0,0.0,,-25433321.74542226,strategic_customer
S01,2028-02-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,0.42199999999999993,0.5780000000000001,0.074,8.0,0.15,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,True,True,False,187593687.7865741,143884892.08633092,-2,0.0,0,0.0,0.0,0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79164536.24593425,108429151.54063985,3026165.2509189886,0.0,0.0,493755665.3999442,0.0,0.0,0.0,0.0,-187593687.7865741,-79164536.24593425,0.0,0.0,22511242.534388892,9379684.389328705,56653293.711545356,0.0,0.0,,0.0,0.0,,-56653293.711545356,strategic_customer
S01,2028-03-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,0.42199999999999993,0.5780000000000001,0.074,8.0,0.15,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,True,True,False,287769784.17266184,287769784.17266184,-1,0.0,0,0.0,0.0,0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121438848.92086327,166330935.25179857,4070534.0373524134,0.0,0.0,664157134.6890951,0.0,0.0,0.0,0.0,-287769784.17266184,-121438848.92086327,0.0,0.0,34532374.10071942,14388489.208633093,86906474.82014385,0.0,0.0,,0.0,0.0,,-86906474.82014385,strategic_customer
