site_id,month,site_name,region,it_load_mw,pue,total_facility_mw,target_power_ready,target_rfs,initial_gpu_count,target_gpu_count,price_per_gpu_hour,power_cost_per_mwh,fixed_opex_monthly,variable_opex_per_gpu_hour,utilization_at_rfs,utilization_mature,months_to_mature,gpu_ramp_months,equity_pct,debt_pct,debt_rate_annual,debt_tenor_years,minimum_equity_first_pct,commissioning,construction_start,design_complete,power_ready,ready_for_service,site_control,scenario,rfs_month,power_gate_open,commissioning_gate_open,rfs_gate_open,capex_usd,gpu_capex_usd,months_since_rfs,utilization,gpu_online,it_load_online_mw,facility_load_online_mw,gpu_hours_available,gpu_hours_sold,price_per_gpu_hour_scenario,revenue_usd,power_mwh,power_cost_usd,fixed_opex_usd,variable_opex_usd,opex_usd,ebitda_usd,equity_draw_usd,debt_draw_usd,interest_during_construction_usd,cash_interest_usd,principal_repayment_usd,ending_debt_balance_usd,debt_service_usd,taxable_income_proxy_usd,cash_tax_usd,operating_cash_flow_usd,unlevered_free_cash_flow_usd,equity_cash_flow_usd,net_cash_flow_post_financing_usd
S01,2027-01-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,0.4,0.6,0.075,7,0.2,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,False,False,False,2952338.135667544,0.0,-15,0.0,0,0.0,0.0,0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2952338.135667544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2952338.135667544,-2952338.135667544,0.0
S01,2027-02-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,0.4,0.6,0.075,7,0.2,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,False,False,False,19950059.688890066,0.0,-14,0.0,0,0.0,0.0,0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19950059.688890066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19950059.688890066,-19950059.688890066,0.0
S01,2027-03-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,0.4,0.6,0.075,7,0.2,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,False,False,False,19143661.813204482,0.0,-13,0.0,0,0.0,0.0,0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19143661.813204482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19143661.813204482,-19143661.813204482,0.0
S01,2027-04-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,0.4,0.6,0.075,7,0.2,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,False,False,False,13148149.546374992,0.0,-12,0.0,0,0.0,0.0,0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13148149.546374992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13148149.546374992,-13148149.546374992,0.0
S01,2027-05-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,0.4,0.6,0.075,7,0.2,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,False,False,False,8896179.714969855,0.0,-11,0.0,0,0.0,0.0,0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8896179.714969855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8896179.714969855,-8896179.714969855,0.0
S01,2027-06-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,0.4,0.6,0.075,7,0.2,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,False,False,False,23163564.590840273,0.0,-10,0.0,0,0.0,0.0,0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23163564.590840273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23163564.590840273,-23163564.590840273,0.0
S01,2027-07-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,0.4,0.6,0.075,7,0.2,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,False,False,False,48607218.002984904,0.0,-9,0.0,0,0.0,0.0,0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48607218.002984904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48607218.002984904,-48607218.002984904,0.0
S01,2027-08-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,0.4,0.6,0.075,7,0.2,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,False,False,False,88273639.40653794,0.0,-8,0.0,0,0.0,0.0,0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88273639.40653794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-88273639.40653794,-88273639.40653794,0.0
S01,2027-09-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,0.4,0.6,0.075,7,0.2,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,False,False,False,127940060.81009096,0.0,-7,0.0,0,0.0,0.0,0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78695137.78435436,49244923.02573659,307780.76891085366,0.0,0.0,49552703.79464745,0.0,0.0,0.0,0.0,-127940060.81009096,-78695137.78435436,-7.450580596923828e-09
S01,2027-10-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,0.4,0.6,0.075,7,0.2,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,False,False,False,159778356.60462138,0.0,-6,0.0,0,0.0,0.0,0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63911342.64184854,95867013.96277283,908873.2359838766,0.0,0.0,146328590.99340415,0.0,0.0,0.0,0.0,-159778356.60462138,-63911342.64184855,-1.4901161193847656e-08
S01,2027-11-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,0.4,0.6,0.075,7,0.2,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,False,False,False,160881344.95668158,0.0,-5,0.0,0,0.0,0.0,0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64352537.98267263,96528806.97400895,1517858.7372963317,0.0,0.0,244375256.70470944,0.0,0.0,0.0,0.0,-160881344.95668158,-64352537.98267263,0.0
S01,2027-12-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,0.4,0.6,0.075,7,0.2,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,False,False,False,93512995.72912401,0.0,-4,0.0,0,0.0,0.0,0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37405198.2916496,56107797.43747441,1878019.0883886488,0.0,0.0,302361073.23057246,0.0,0.0,0.0,0.0,-93512995.72912401,-37405198.2916496,0.0
S01,2028-01-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,0.4,0.6,0.075,7,0.2,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,True,False,False,84216297.1702724,24172661.870503593,-3,0.0,0,0.0,0.0,0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33686518.86810896,50529778.30216344,2205567.822079599,0.0,0.0,355096419.3548155,0.0,0.0,0.0,0.0,-84216297.1702724,-33686518.86810896,0.0
S01,2028-02-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,0.4,0.6,0.075,7,0.2,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,True,True,False,187593687.7865741,143884892.08633092,-2,0.0,0,0.0,0.0,0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75037475.11462964,112556212.67194445,2922828.9501672494,0.0,0.0,470575460.97692716,0.0,0.0,0.0,0.0,-187593687.7865741,-75037475.11462964,0.0
S01,2028-03-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,0.4,0.6,0.075,7,0.2,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,True,True,False,287769784.17266184,287769784.17266184,-1,0.0,0,0.0,0.0,0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115107913.66906472,172661870.5035971,4020233.3217532765,0.0,0.0,647257564.8022776,0.0,0.0,0.0,0.0,-287769784.17266184,-115107913.66906473,-2.9802322387695312e-08
S01,2028-04-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,0.4,0.6,0.075,7,0.2,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,True,True,True,24172661.870503593,24172661.870503593,0,0.25,1333,6.665,8.33125,959760,239940.0,3.5,839790.0,1499.6250000000002,92976.75000000001,4200000.0,43189.2,4336165.95,-3496375.95,9669064.748201437,14503597.122302156,0.0,4136007.262028623,7878109.070530711,653883052.8540491,12014116.332559334,0.0,0.0,-3496375.95,-27669037.820503592,-25179557.030760773,-15510492.282559333
S01,2028-05-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,0.4,0.6,0.075,7,0.2,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,True,True,True,0.0,0.0,1,0.2816666666666667,2666,13.33,16.6625,1983504,558686.96,3.5,1955404.3599999999,3491.7935000000007,216491.19700000004,4200000.0,100563.6528,4517054.8498,-2561650.4898,0.0,0.0,0.0,4086769.0803378066,7878109.070530712,646004943.7835184,11964878.150868518,0.0,0.0,-2561650.4898,-2561650.4898,-14526528.640668519,-14526528.640668519
S01,2028-06-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,0.4,0.6,0.075,7,0.2,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,True,True,True,0.0,0.0,2,0.31333333333333335,4000,20.0,25.0,2880000,902400.0,3.5,3158400.0,5640.0,349680.0,4200000.0,162432.0,4712112.0,-1553712.0,0.0,0.0,0.0,4037530.89864699,7878109.070530713,638126834.7129877,11915639.969177702,0.0,0.0,-1553712.0,-1553712.0,-13469351.969177702,-13469351.969177702
S01,2028-07-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,0.4,0.6,0.075,7,0.2,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,True,True,True,0.0,0.0,3,0.345,5333,26.665,33.33125,3967752,1368874.44,3.5,4791060.54,8555.465249999997,530438.8454999998,4200000.0,246397.39919999999,4976836.2447,-185775.70469999965,0.0,0.0,0.0,3988292.7169561726,7878109.070530712,630248725.642457,11866401.787486885,0.0,0.0,-185775.70469999965,-185775.70469999965,-12052177.492186885,-12052177.492186885
S01,2028-08-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,0.4,0.6,0.075,7,0.2,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,True,True,True,0.0,0.0,4,0.37666666666666665,6666,33.33,41.662499999999994,4959504,1868079.8399999999,3.5,6538279.4399999995,11675.498999999998,723880.9379999998,4200000.0,336254.37119999994,5260135.3092,1278144.1307999995,0.0,0.0,0.0,3939054.535265356,7878109.070530713,622370616.5719264,11817163.605796069,0.0,0.0,1278144.1307999995,1278144.1307999995,-10539019.47499607,-10539019.47499607
S01,2028-09-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,0.4,0.6,0.075,7,0.2,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,True,True,True,0.0,0.0,5,0.4083333333333333,8000,40.0,50.0,5760000,2352000.0,3.5,8232000.0,14700.0,911400.0,4200000.0,423360.0,5534760.0,2697240.0,0.0,0.0,0.0,3889816.3535745395,7878109.070530714,614492507.5013956,11767925.424105253,0.0,0.0,2697240.0,2697240.0,-9070685.424105253,-9070685.424105253
S01,2028-10-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,0.4,0.6,0.075,7,0.2,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,True,True,True,0.0,0.0,6,0.43999999999999995,9333,46.665000000000006,58.33125000000001,6943752,3055250.8799999994,3.5,10693378.079999998,19095.318000000003,1183909.7160000002,4200000.0,549945.1583999998,5933854.8744,4759523.205599998,0.0,0.0,0.0,3840578.1718837223,7878109.070530713,606614398.4308648,11718687.242414435,918945.0337162758,229736.25842906896,4529786.947170929,4529786.947170929,-7188900.295243506,-7188900.295243506
S01,2028-11-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,0.4,0.6,0.075,7,0.2,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,True,True,True,0.0,0.0,7,0.4716666666666667,10666,53.33,66.6625,7679520,3622173.6,3.5,12677607.6,22638.584999999995,1403592.2699999998,4200000.0,651991.248,6255583.517999999,6422024.082,0.0,0.0,0.0,3791339.9901929046,7878109.070530712,598736289.3603342,11669449.060723616,2630684.091807096,657671.022951774,5764353.059048226,5764353.059048226,-5905096.00167539,-5905096.00167539
S01,2028-12-01,Atlas East,Virginia,60,1.25,75.0,2028-01-01,2028-04-01,0,12000,3.5,62,4200000,0.18,0.25,0.82,18,9,0.4,0.6,0.075,7,0.2,2028-02-01,2027-06-01,2027-05-01,2028-01-01,2028-04-01,2027-01-01,base,2028-04-01,True,True,True,0.0,0.0,8,0.5033333333333333,12000,60.0,75.0,8928000,4493760.0,3.5,15728160.0,28085.999999999996,1741331.9999999998,4200000.0,808876.7999999999,6750208.8,8977951.2,0.0,0.0,0.0,3742101.8085020883,7878109.070530713,590858180.2898035,11620210.879032802,5235849.391497911,1308962.3478744777,7668988.852125522,7668988.852125522,-3951222.02690728,-3951222.02690728
